YCSB Client 0.1
Command line: -db com.yahoo.ycsb.db.HBaseClient -P /root/ycsb/config/hbase.conf -P /root/ycsb/config/workload-ycsb-thomas -P /root/ycsb/config/workload-ycsb-thomas-continuous -s -target 600 -threads 50 -p eventFile=/root/ycsb/config/hbase/hbase-event-vmhb3-kill.xml -t
 0 sec: 0 operations; 
[UPDATE], AverageLatency(us), 31320.831263304026
[UPDATE], MinLatency(us), 1046
[UPDATE], MaxLatency(us), 311416427
[UPDATE], Return=0, 108049
[UPDATE], 0, 185434.96453900708
[UPDATE], 1000, 34259.05844155844
[UPDATE], 2000, 35052.52153110048
[UPDATE], 3000, 17470.44210526316
[UPDATE], 4000, 15391.8515625
[UPDATE], 5000, 7688.4915254237285
[UPDATE], 6000, 11441.852459016394
[UPDATE], 7000, 9593.754098360656
[UPDATE], 8000, 12616.361344537816
[UPDATE], 9000, 11747.846846846847
[UPDATE], 10000, 10527.694444444445
[UPDATE], 11000, 8271.083333333334
[UPDATE], 12000, 19877.72131147541
[UPDATE], 13000, 10383.792792792792
[UPDATE], 14000, 10104.883333333333
[UPDATE], 15000, 13983.856
[UPDATE], 16000, 12695.096
[UPDATE], 17000, 15863.914634146342
[UPDATE], 18000, 10729.67256637168
[UPDATE], 19000, 11045.370078740158
[UPDATE], 20000, 13983.465648854963
[UPDATE], 21000, 9242.962962962964
[UPDATE], 22000, 11566.973684210527
[UPDATE], 23000, 10142.790909090909
[UPDATE], 24000, 8134.615384615385
[UPDATE], 25000, 14805.478632478633
[UPDATE], 26000, 10428.684210526315
[UPDATE], 27000, 24086.463636363635
[UPDATE], 28000, 10739.285714285714
[UPDATE], 29000, 10733.220472440946
[UPDATE], 30000, 45968.89344262295
[UPDATE], 31000, 6866.785123966943
[UPDATE], 32000, 33919.03846153846
[UPDATE], 33000, 15968.404958677685
[UPDATE], 34000, 23928.723076923077
[UPDATE], 35000, 8189.713114754099
[UPDATE], 36000, 12806.367924528302
[UPDATE], 37000, 10086.039603960397
[UPDATE], 38000, 10736.944444444445
[UPDATE], 39000, 7896.191304347826
[UPDATE], 40000, 10925.576
[UPDATE], 41000, 11259.214814814815
[UPDATE], 42000, 19498.34351145038
[UPDATE], 43000, 8198.476635514018
[UPDATE], 44000, 10194.385321100917
[UPDATE], 45000, 32409.40740740741
[UPDATE], 46000, 7466.470085470086
[UPDATE], 47000, 29177.8984375
[UPDATE], 48000, 10214.117647058823
[UPDATE], 49000, 8850.699115044248
[UPDATE], 50000, 8304.984
[UPDATE], 51000, 9880.28455284553
[UPDATE], 52000, 12532.4453125
[UPDATE], 53000, 10889.078125
[UPDATE], 54000, 8311.611111111111
[UPDATE], 55000, 9568.41791044776
[UPDATE], 56000, 9014.185840707965
[UPDATE], 57000, 47571.326315789476
[UPDATE], 58000, 22250.046666666665
[UPDATE], 59000, 8082.25
[UPDATE], 60000, 10539.725806451614
[UPDATE], 61000, 10452.504672897196
[UPDATE], 62000, 28664.03092783505
[UPDATE], 63000, 9627.674796747968
[UPDATE], 64000, 12533.490566037735
[UPDATE], 65000, 13487.048387096775
[UPDATE], 66000, 10077.341463414634
[UPDATE], 67000, 12625.758333333333
[UPDATE], 68000, 9124.71875
[UPDATE], 69000, 42515.769230769234
[UPDATE], 70000, 6857.0373831775705
[UPDATE], 71000, 12364.297520661157
[UPDATE], 72000, 10809.714285714286
[UPDATE], 73000, 8975.751879699248
[UPDATE], 74000, 8982.747967479674
[UPDATE], 75000, 29237.408333333333
[UPDATE], 76000, 12119.333333333334
[UPDATE], 77000, 10411.842105263158
[UPDATE], 78000, 11875.419847328245
[UPDATE], 79000, 10852.625
[UPDATE], 80000, 9597.226086956522
[UPDATE], 81000, 7688.024590163935
[UPDATE], 82000, 9288.92372881356
[UPDATE], 83000, 9620.484848484848
[UPDATE], 84000, 10286.72033898305
[UPDATE], 85000, 9017.991596638656
[UPDATE], 86000, 11923.838461538462
[UPDATE], 87000, 33039.41592920354
[UPDATE], 88000, 25173.268115942028
[UPDATE], 89000, 9954.918518518518
[UPDATE], 90000, 12173.736
[UPDATE], 91000, 8358.206611570247
[UPDATE], 92000, 54790.81720430108
[UPDATE], 93000, 36845.23188405797
[UPDATE], 94000, 9903.03007518797
[UPDATE], 95000, 8319.71794871795
[UPDATE], 96000, 10707.401574803149
[UPDATE], 97000, 8852.0
[UPDATE], 98000, 8395.937007874016
[UPDATE], 99000, 18732.023622047243
[UPDATE], 100000, 9575.2
[UPDATE], 101000, 13514.254385964912
[UPDATE], 102000, 7735.418803418804
[UPDATE], 103000, 11313.233644859813
[UPDATE], 104000, 24709.68181818182
[UPDATE], 105000, 7346.75
[UPDATE], 106000, 8580.1968503937
[UPDATE], 107000, 179282.0625
[UPDATE], 108000, 1309942.8
[UPDATE], 109000, 1583921.1
[UPDATE], 110000, 298965.95238095237
[UPDATE], 111000, 117782.19672131147
[UPDATE], 112000, 83303.38759689922
[UPDATE], 113000, 54018.28813559322
[UPDATE], 114000, 41885.874074074076
[UPDATE], 115000, 79420.71428571429
[UPDATE], 116000, 280472.1780821918
[UPDATE], 117000, 77450.84905660378
[UPDATE], 118000, 285661.25
