YCSB Client 0.1
Command line: -db com.yahoo.ycsb.db.HBaseClient -P /root/ycsb/config/hbase.conf -P /root/ycsb/config/workload-ycsb-thomas -P /root/ycsb/config/workload-ycsb-thomas-continuous -s -threads 50 -target 600 -p eventFile=/root/ycsb/config/hbase/hbase-event-vmhb3-drop.xml -t
 0 sec: 0 operations; 
[UPDATE], 4000, 7748.347368421053
[UPDATE], 5000, 22323.452554744526
[UPDATE], 6000, 10179.470588235294
[UPDATE], 7000, 11561.00925925926
[UPDATE], 8000, 11627.219298245614
[UPDATE], 9000, 8940.007751937985
[UPDATE], 10000, 11274.403846153846
[UPDATE], 11000, 12106.519083969466
[UPDATE], 12000, 10821.142857142857
[UPDATE], 13000, 9659.22950819672
[UPDATE], 14000, 11763.278195488721
[UPDATE], 15000, 13512.801801801801
[UPDATE], 16000, 7939.603174603175
[UPDATE], 17000, 29747.666666666668
[UPDATE], 18000, 14014.690647482015
[UPDATE], 19000, 11915.928057553956
[UPDATE], 20000, 7640.188976377953
[UPDATE], 21000, 7848.798165137615
[UPDATE], 22000, 10636.568965517241
[UPDATE], 23000, 8404.047619047618
[UPDATE], 24000, 10670.565891472868
[UPDATE], 25000, 8820.917355371901
[UPDATE], 26000, 9694.246268656716
[UPDATE], 27000, 10503.076335877862
[UPDATE], 28000, 10710.144
[UPDATE], 29000, 11890.686440677966
[UPDATE], 30000, 10135.589147286822
[UPDATE], 31000, 8155.918518518519
[UPDATE], 32000, 14999.633663366336
[UPDATE], 33000, 48004.44594594595
[UPDATE], 34000, 29865.981981981982
[UPDATE], 35000, 14335.690476190477
[UPDATE], 36000, 10788.265486725664
[UPDATE], 37000, 15658.69387755102
[UPDATE], 38000, 76704.7972972973
[UPDATE], 39000, 248181.33333333334
[UPDATE], 40000, 613817.4444444445
[UPDATE], 41000, 368976.96428571426
[UPDATE], 42000, 134673.8947368421
[UPDATE], 43000, 65095.21951219512
[UPDATE], 44000, 48264.41605839416
[UPDATE], 45000, 51612.570175438595
[UPDATE], 46000, 48357.958333333336
[UPDATE], 47000, 34326.66455696202
[UPDATE], 48000, 40353.55399061033
[UPDATE], 49000, 482925.4285714286
[UPDATE], 50000, 116732.41221374046
[UPDATE], 51000, 76713.65680473374
[UPDATE], 52000, 31232.89351851852
[UPDATE], 53000, 56865.748299319726
[UPDATE], 54000, 17280.600660066008
[UPDATE], 55000, 368270.77777777775
[UPDATE], 56000, 61320.14090909091
[UPDATE], 57000, 20733.311475409835
[UPDATE], 58000, 9503.0
[UPDATE], 60000, 282004.7173913043
[UPDATE], 61000, 86873.72839506173
[UPDATE], 62000, 24983.685975609755
[UPDATE], 63000, 17143.681415929204
[UPDATE], 64000, 5589.962264150943
[UPDATE], 65000, 5909.663934426229
[UPDATE], 66000, 4771.440677966101
[UPDATE], 67000, 6453.9240506329115
[UPDATE], 68000, 68803.85217391304
[UPDATE], 69000, 34111.59574468085
[UPDATE], 70000, 23151.63025210084
[UPDATE], 71000, 10695.224
[UPDATE], 72000, 9255.85
[UPDATE], 73000, 9196.5
[UPDATE], 74000, 9463.548672566372
[UPDATE], 75000, 8366.72
[UPDATE], 76000, 8661.75
[UPDATE], 77000, 8791.739130434782
[UPDATE], 78000, 10049.532110091743
[UPDATE], 79000, 6879.75
[UPDATE], 80000, 7771.384
[UPDATE], 81000, 7880.232
[UPDATE], 82000, 8284.763779527559
[UPDATE], 83000, 8345.75
[UPDATE], 84000, 8721.582677165354
[UPDATE], 85000, 9596.70093457944
[UPDATE], 86000, 8250.56880733945
[UPDATE], 87000, 10211.396694214876
[UPDATE], 88000, 9159.682692307691
[UPDATE], 89000, 8367.456896551725
[UPDATE], 90000, 8084.1238095238095
[UPDATE], 91000, 8653.507692307692
[UPDATE], 92000, 9601.657534246575
[UPDATE], 93000, 38104.47826086957
[UPDATE], 94000, 8162.957983193277
[UPDATE], 95000, 7418.2307692307695
[UPDATE], 96000, 9470.88596491228
[UPDATE], 97000, 8326.626865671642
[UPDATE], 98000, 7014.431034482759
[UPDATE], 99000, 8523.310606060606
[UPDATE], 100000, 63361.666666666664
[UPDATE], 101000, 8451.595238095239
[UPDATE], 103000, 278163.49044585985
[UPDATE], 104000, 15467.341379310345
[UPDATE], 105000, 8263.968992248061
[UPDATE], 106000, 6911.638655462185
[UPDATE], 107000, 7561.209090909091
[UPDATE], 108000, 7782.322834645669
[UPDATE], 109000, 7651.221238938053
[UPDATE], 110000, 7617.68992248062
[UPDATE], 111000, 7453.464912280701
[UPDATE], 112000, 8470.654867256637
[UPDATE], 113000, 8639.019607843138
[UPDATE], 114000, 7398.9473684210525
[UPDATE], 115000, 9898.672
[UPDATE], 116000, 6640.985185185185
[UPDATE], 117000, 8503.689075630253
[UPDATE], 118000, 8157.920792079208
[UPDATE], 119000, 7101.573913043479
[UPDATE], 120000, 6888.488372093023
[UPDATE], 121000, 7940.957627118644
[UPDATE], 122000, 41926.59541984733
[UPDATE], 123000, 8544.937984496124
[UPDATE], 124000, 10277.128571428571
[UPDATE], 125000, 8863.484210526316
[UPDATE], 126000, 13510.288288288288
[UPDATE], 127000, 18664.86842105263
[UPDATE], 128000, 8095.626016260163
[UPDATE], 129000, 7047.703389830508
[UPDATE], 130000, 9357.268907563026
[UPDATE], 131000, 7749.183823529412
[UPDATE], 132000, 8680.59090909091
[UPDATE], 133000, 10570.520325203252
[UPDATE], 134000, 11101.330275229358
[UPDATE], 135000, 24189.01020408163
[UPDATE], 136000, 8452.50925925926
[UPDATE], 137000, 8030.432203389831
[UPDATE], 138000, 8687.258620689656
[UPDATE], 139000, 10192.467105263158
[UPDATE], 140000, 9770.516666666666
[UPDATE], 141000, 9197.939130434783
[UPDATE], 142000, 6789.491071428572
[UPDATE], 143000, 9768.453781512606
[UPDATE], 144000, 7303.76
[UPDATE], 145000, 7384.791666666667
[UPDATE], 146000, 8329.4375
[UPDATE], 147000, 7241.787234042553
[UPDATE], 148000, 8558.017094017094
[UPDATE], 149000, 7628.685483870968
[UPDATE], 150000, 8671.230088495575
[UPDATE], 151000, 7285.093023255814
[UPDATE], 152000, 6548.58
[UPDATE], 153000, 8856.917355371901
[UPDATE], 154000, 7149.692307692308
[UPDATE], 155000, 9041.97435897436
[UPDATE], 156000, 8744.606837606838
[UPDATE], 157000, 9830.36
[UPDATE], 158000, 10294.60606060606
[UPDATE], 159000, 7269.658333333334
[UPDATE], 160000, 43008.666666666664
[UPDATE], 161000, 9338.846153846154
[UPDATE], 162000, 7091.477477477478
[UPDATE], 163000, 12257.626086956521
[UPDATE], 164000, 7730.844036697248
[UPDATE], 165000, 8644.375
[UPDATE], 166000, 8592.504347826087
[UPDATE], 167000, 7763.857142857143
[UPDATE], 168000, 15544.739837398374
[UPDATE], 169000, 9857.833333333334
[UPDATE], 170000, 8231.134453781513
[UPDATE], 171000, 5877.167883211679
[UPDATE], 172000, 7484.242424242424
[UPDATE], 173000, 7634.311926605505
[UPDATE], 174000, 7898.5390625
[UPDATE], 175000, 14245.504424778761
[UPDATE], 176000, 7654.822580645161
[UPDATE], 177000, 12391.07299270073
[UPDATE], 178000, 6885.326923076923
[UPDATE], 179000, 7076.1259842519685
[UPDATE], 180000, 8052.758928571428
[UPDATE], 181000, 9131.5078125
[UPDATE], 182000, 9477.888059701492
[UPDATE], 183000, 8651.274336283186
[UPDATE], 184000, 8114.949579831933
[UPDATE], 185000, 7430.304347826087
[UPDATE], 186000, 7999.347826086957
[UPDATE], 187000, 10827.058823529413
[UPDATE], 188000, 10266.864077669903
[UPDATE], 189000, 11197.245762711864
[UPDATE], 190000, 11821.059322033898
[UPDATE], 191000, 8691.230158730159
[UPDATE], 192000, 8537.756521739131
[UPDATE], 193000, 10625.393442622952
[UPDATE], 194000, 7807.290909090909
[UPDATE], 195000, 14318.8
[UPDATE], 196000, 8529.685039370079
[UPDATE], 197000, 7865.754237288135
[UPDATE], 198000, 9903.34126984127
[UPDATE], 199000, 7696.725
[UPDATE], 200000, 7082.450819672131
[UPDATE], 201000, 9247.569105691056
[UPDATE], 202000, 9175.074626865671
[UPDATE], 203000, 7722.8601398601395
[UPDATE], 204000, 7620.148148148148
[UPDATE], 205000, 17508.428571428572
[UPDATE], 206000, 9646.60583941606
[UPDATE], 207000, 9464.048780487805
[UPDATE], 208000, 7227.4838709677415
[UPDATE], 209000, 6938.646017699115
