YCSB Client 0.1
Command line: -db com.yahoo.ycsb.db.HBaseClient -P /root/ycsb/config/hbase.conf -P /root/ycsb/config/workload-ycsb-thomas -P /root/ycsb/config/workload-ycsb-thomas-continuous -threads 50 -s -target 600 -p eventFile=/root/ycsb/config/hbase/hbase-event-vmhb2.xml -t
 0 sec: 0 operations; 
[UPDATE], Operations, 108081
[UPDATE], AverageLatency(us), 25109.463800297926
[UPDATE], MinLatency(us), 1137
[UPDATE], MaxLatency(us), 316686006
[UPDATE], Return=0, 108081
[UPDATE], 0, 142246.79865771811
[UPDATE], 1000, 19414.6
[UPDATE], 2000, 9436.854700854701
[UPDATE], 3000, 12594.598039215687
[UPDATE], 4000, 10631.230215827338
[UPDATE], 5000, 7443.473684210527
[UPDATE], 6000, 8471.288288288288
[UPDATE], 7000, 9895.145161290322
[UPDATE], 8000, 10150.15503875969
[UPDATE], 9000, 9338.694915254237
[UPDATE], 10000, 8625.858333333334
[UPDATE], 11000, 8604.464
[UPDATE], 12000, 8035.952830188679
[UPDATE], 13000, 7162.065040650406
[UPDATE], 14000, 19227.549180327867
[UPDATE], 15000, 9069.38524590164
[UPDATE], 16000, 9318.932692307691
[UPDATE], 17000, 5209.077519379845
[UPDATE], 18000, 8927.975409836066
[UPDATE], 19000, 9356.546666666667
[UPDATE], 20000, 7704.296551724138
[UPDATE], 21000, 7204.341085271318
[UPDATE], 22000, 9427.49593495935
[UPDATE], 23000, 8811.192982456141
[UPDATE], 24000, 16183.794871794871
[UPDATE], 25000, 8111.8387096774195
[UPDATE], 26000, 8147.721739130435
[UPDATE], 27000, 16555.153846153848
[UPDATE], 28000, 9707.07627118644
[UPDATE], 29000, 8366.096
[UPDATE], 30000, 9275.16935483871
[UPDATE], 31000, 8506.352
[UPDATE], 32000, 6343.321428571428
[UPDATE], 33000, 6623.488549618321
[UPDATE], 34000, 11341.72
[UPDATE], 35000, 6829.873949579832
[UPDATE], 36000, 9472.701612903225
[UPDATE], 37000, 5986.053571428572
[UPDATE], 38000, 7429.647540983607
[UPDATE], 39000, 8630.203125
[UPDATE], 40000, 8300.232394366198
[UPDATE], 41000, 7424.59842519685
[UPDATE], 42000, 7045.257352941177
[UPDATE], 43000, 8612.951048951049
[UPDATE], 44000, 8085.320895522388
[UPDATE], 45000, 6058.974358974359
[UPDATE], 46000, 7188.774193548387
[UPDATE], 47000, 6919.691588785046
[UPDATE], 48000, 7272.639639639639
[UPDATE], 49000, 16288.504273504273
[UPDATE], 50000, 27841.872483221476
[UPDATE], 51000, 8885.418032786885
[UPDATE], 52000, 9830.08527131783
[UPDATE], 53000, 6878.015384615384
[UPDATE], 54000, 7456.0
[UPDATE], 55000, 8225.049586776859
[UPDATE], 56000, 14307.862595419847
[UPDATE], 57000, 21834.301470588234
[UPDATE], 58000, 8812.685950413223
[UPDATE], 59000, 7916.59349593496
[UPDATE], 60000, 6543.1557377049185
[UPDATE], 61000, 11653.435643564357
[UPDATE], 62000, 5946.007462686567
[UPDATE], 63000, 7615.2
[UPDATE], 64000, 15602.130434782608
[UPDATE], 65000, 8435.858407079646
[UPDATE], 66000, 6963.576388888889
[UPDATE], 67000, 6189.212121212121
[UPDATE], 68000, 7575.839285714285
[UPDATE], 69000, 8959.38596491228
[UPDATE], 70000, 7993.915492957746
[UPDATE], 71000, 7886.549295774648
[UPDATE], 72000, 8365.842975206611
