,W-0,R-0,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,
282561153993,1,2,1,1,1,1,1,1,1,1,1,
282561653993,1,2,1,1,1,1,1,1,1,1,1,
282562653993,1,2,1,1,1,1,1,1,1,1,1,
282563653993,1,2,2,2,2,2,2,2,2,2,2,
282564653993,1,2,2,1,1,1,1,1,1,1,1,
282568153993,1,2,1,1,1,1,1,1,1,1,1,
282568653993,1,2,1,1,1,1,1,1,1,1,1,
282569653993,1,2,1,1,1,1,1,1,1,1,1,
282573653993,1,2,2,1,1,1,1,1,1,1,1,
282576153993,1,2,1,1,1,1,1,1,1,1,1,
282577153993,1,2,1,1,1,1,1,1,1,1,1,
282578653993,1,2,1,1,1,1,1,1,1,1,1,
282579153993,1,2,2,1,1,1,1,1,1,1,1,
282579653993,1,2,1,1,1,1,1,1,1,1,1,
282582653993,1,2,1,1,1,1,1,1,1,1,1,
282583153993,1,2,1,1,1,1,1,1,1,1,1,
282583653993,1,2,1,1,1,1,1,1,1,1,1,
282584153993,1,2,1,1,1,1,1,1,1,1,1,
282585153993,1,2,1,1,1,1,1,1,1,1,1,
282588153993,1,2,1,1,1,1,1,1,1,1,1,
282590153993,1,2,1,1,1,1,1,1,1,1,1,
282590653993,1,2,2,1,1,1,1,1,1,1,1,
282591153993,1,2,1,1,1,1,1,1,1,1,1,
282592653993,1,2,2,1,1,1,1,1,1,1,1,
282593153993,1,2,1,1,1,1,1,1,1,1,1,
282595653993,1,2,2,1,1,1,1,1,1,1,1,
282596653993,1,2,2,2,1,1,1,1,1,1,1,
282597153993,1,2,1,1,1,1,1,1,1,1,1,
282599153993,1,2,1,1,1,1,1,1,1,1,1,
282600153993,1,2,2,1,1,1,1,1,1,1,1,
282600653993,1,2,2,1,1,1,1,1,1,1,1,
282601653993,1,2,2,1,1,1,1,1,1,1,1,
282602653993,1,2,1,1,1,1,1,1,1,1,1,
282603153993,1,2,1,1,1,1,1,1,1,1,1,
282604653993,1,2,2,1,1,1,1,1,1,1,1,
282606153993,1,2,1,1,1,1,1,1,1,1,1,
282606653993,1,2,2,1,1,1,1,1,1,1,1,
282609153993,1,2,2,1,1,1,1,1,1,1,1,
282609653993,1,2,2,1,1,1,1,1,1,1,1,
282610153993,1,2,1,1,1,1,1,1,1,1,1,
282611153993,1,2,2,1,1,1,1,1,1,1,1,
282611653993,1,2,1,1,1,1,1,1,1,1,1,
282612153993,1,2,2,1,1,1,1,1,1,1,1,
282613653993,1,2,2,1,1,1,1,1,1,1,1,
282614153993,1,2,2,2,2,2,2,2,1,1,1,
282615153993,1,2,1,1,1,1,1,1,1,1,1,
282615653993,1,2,1,1,1,1,1,1,1,1,1,
282616653993,1,2,2,1,1,1,1,1,1,1,1,
282617153993,1,2,1,1,1,1,1,1,1,1,1,
282617653993,1,2,1,1,1,1,1,1,1,1,1,
282618153993,1,2,2,1,1,1,1,1,1,1,1,
282619653993,1,2,2,1,1,1,1,1,1,1,1,
282621653993,1,2,1,1,1,1,1,1,1,1,1,
282622653993,1,2,1,1,1,1,1,1,1,1,1,
282623153993,1,2,1,1,1,1,1,1,1,1,1,
282623653993,1,2,1,1,1,1,1,1,1,1,1,
282624153993,1,2,1,1,1,1,1,1,1,1,1,
282625653993,1,2,2,1,1,1,1,1,1,1,1,
282628153993,1,2,1,1,1,1,1,1,1,1,1,
282628653993,1,2,2,1,1,1,1,1,1,1,1,
282629153993,1,2,1,1,1,1,1,1,1,1,1,
282630153993,1,2,1,1,1,1,1,1,1,1,1,
282631153993,1,2,2,1,1,1,1,1,1,1,1,
282631653993,1,2,1,1,1,1,1,1,1,1,1,
282632153993,1,2,1,1,1,1,1,1,1,1,1,
282632653993,1,2,2,1,1,1,1,1,1,1,1,
282633653993,1,2,1,1,1,1,1,1,1,1,1,
282635153993,1,2,1,1,1,1,1,1,1,1,1,
282635653993,1,2,1,1,1,1,1,1,1,1,1,
282636153993,1,2,2,1,1,1,1,1,1,1,1,
282636653993,1,2,2,1,1,1,1,1,1,1,1,
282638153993,1,2,2,1,1,1,1,1,1,1,1,
