,W-0,R-0,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,
280901629680,1,2,2,1,1,1,1,1,1,1,1,
280903129680,1,2,1,1,1,1,1,1,1,1,1,
280904129680,1,2,1,1,1,1,1,1,1,1,1,
280905129680,1,2,1,1,1,1,1,1,1,1,1,
280906129680,1,2,1,1,1,1,1,1,1,1,1,
280906629680,1,2,1,1,1,1,1,1,1,1,1,
280907129680,1,2,1,1,1,1,1,1,1,1,1,
280907629680,1,2,2,2,2,2,1,1,1,1,1,
280908129680,1,2,1,1,1,1,1,1,1,1,1,
280908629680,1,2,1,1,1,1,1,1,1,1,1,
280910129680,1,2,1,1,1,1,1,1,1,1,1,
280911129680,1,2,1,1,1,1,1,1,1,1,1,
280911629680,1,2,1,1,1,1,1,1,1,1,1,
280912129680,1,2,1,1,1,1,1,1,1,1,1,
280912629680,1,2,1,1,1,1,1,1,1,1,1,
280913129680,1,2,1,1,1,1,1,1,1,1,1,
280913629680,1,2,1,1,1,1,1,1,1,1,1,
280914129680,1,2,1,1,1,1,1,1,1,1,1,
280915129680,1,2,1,1,1,1,1,1,1,1,1,
280915629680,1,2,1,1,1,1,1,1,1,1,1,
280916129680,1,2,1,1,1,1,1,1,1,1,1,
280916629680,1,2,1,1,1,1,1,1,1,1,1,
280917629680,1,2,1,1,1,1,1,1,1,1,1,
280918629680,1,2,1,1,1,1,1,1,1,1,1,
280919129680,1,2,1,1,1,1,1,1,1,1,1,
280921129680,1,2,1,1,1,1,1,1,1,1,1,
280921629680,1,2,1,1,1,1,1,1,1,1,1,
280922129680,1,2,1,1,1,1,1,1,1,1,1,
280922629680,1,2,1,1,1,1,1,1,1,1,1,
280923129680,1,2,1,1,1,1,1,1,1,1,1,
280925629680,1,2,1,1,1,1,1,1,1,1,1,
280926629680,1,2,1,1,1,1,1,1,1,1,1,
280927129680,1,2,1,1,1,1,1,1,1,1,1,
280927629680,1,2,1,1,1,1,1,1,1,1,1,
280928129680,1,2,1,1,1,1,1,1,1,1,1,
280928629680,1,2,1,1,1,1,1,1,1,1,1,
280929629680,1,2,1,1,1,1,1,1,1,1,1,
280930129680,1,2,1,1,1,1,1,1,1,1,1,
280930629680,1,2,1,1,1,1,1,1,1,1,1,
280932629680,1,2,1,1,1,1,1,1,1,1,1,
280933129680,1,2,1,1,1,1,1,1,1,1,1,
280934629680,1,2,1,1,1,1,1,1,1,1,1,
280935129680,1,2,2,2,2,2,2,2,2,2,1,
280935629680,1,2,1,1,1,1,1,1,1,1,1,
280936129680,1,2,1,1,1,1,1,1,1,1,1,
280937129680,1,2,1,1,1,1,1,1,1,1,1,
280938629680,1,2,1,1,1,1,1,1,1,1,1,
280939129680,1,2,1,1,1,1,1,1,1,1,1,
280939629680,1,2,1,1,1,1,1,1,1,1,1,
280940629680,1,2,1,1,1,1,1,1,1,1,1,
280942129680,1,2,1,1,1,1,1,1,1,1,1,
280943129680,1,2,1,1,1,1,1,1,1,1,1,
280944629680,1,2,1,1,1,1,1,1,1,1,1,
280945129680,1,1,1,1,1,1,1,1,1,1,1,
280946129680,1,2,1,1,1,1,1,1,1,1,1,
280946629680,1,2,1,1,1,1,1,1,1,1,1,
280948129680,1,2,1,1,1,1,1,1,1,1,1,
280948629680,1,2,1,1,1,1,1,1,1,1,1,
280949129680,1,2,1,1,1,1,1,1,1,1,1,
280949629680,1,2,1,1,1,1,1,1,1,1,1,
280951629680,1,2,1,1,1,1,1,1,1,1,1,
280953629680,1,2,1,1,1,1,1,1,1,1,1,
280954129680,1,2,1,1,1,1,1,1,1,1,1,
280955629680,1,2,1,1,1,1,1,1,1,1,1,
280957129680,1,2,1,1,1,1,1,1,1,1,1,
280959629680,1,2,1,1,1,1,1,1,1,1,1,
280960129680,1,2,1,1,1,1,1,1,1,1,1,
280961129680,1,1,1,1,1,1,1,1,1,1,1,
280961629680,1,2,1,1,1,1,1,1,1,1,1,
280962129680,1,2,1,1,1,1,1,1,1,1,1,
280963129680,1,2,1,1,1,1,1,1,1,1,1,
280965629680,1,2,1,1,1,1,1,1,1,1,1,
