,W-0,R-0,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,
281945302121,17438,48054,48624,47960,29646,28305,26394,29424,28635,28963,29650,
281946802121,10005,40759,12100,12291,13208,14530,16979,27082,27692,27824,29146,
281947802121,5155,34475,42726,9858,12776,22481,23165,23994,24214,25289,30429,
281948802121,5812,35244,7210,12139,12326,15927,18921,21071,22101,25189,28457,
281949802121,7438,39760,8180,9074,12532,13220,18619,20055,25077,25709,29538,
281950302121,11574,36235,13100,16795,16673,17682,18100,22512,30626,32347,33842,
281950802121,5103,40837,41283,8300,10448,13385,20185,20588,22539,27978,35214,
281951302121,8328,35973,41800,8700,10241,13251,18696,19778,23494,26442,28789,
281951802121,10029,33082,11341,11575,20194,22246,22386,22993,23511,27292,30789,
281952302121,4399,40152,5564,8426,11335,17993,18922,20288,23589,25343,30283,
281953802121,4356,32827,4373,7942,13172,13642,17594,21604,22283,28190,29364,
281954802121,4921,45672,6600,9476,12992,13326,16243,19457,23255,25949,29078,
281955302121,7121,34594,7426,8941,15787,16014,16353,30262,30772,30838,31590,
281955802121,10956,35754,14569,15026,15047,17087,18548,19924,24584,26014,28225,
281956302121,6561,40425,7339,7725,15048,15428,26029,28504,29279,29092,29448,
281956802121,8957,40639,40858,9129,12761,13830,20840,21461,27366,29319,29802,
281957302121,13340,37680,13802,14215,14710,15426,17680,20725,36739,37194,37460,
281957802121,4540,35347,4777,8334,19029,18274,19444,21714,23106,26784,31966,
281958802121,4086,33698,4471,9868,10973,14391,16267,19112,23012,26486,29172,
281959302121,13289,35239,40376,13816,14773,16024,19291,23946,30658,30830,31687,
281959802121,7121,33673,7277,8016,14097,15017,16362,19592,24827,25236,32788,
281960302121,40108,65546,67728,66850,70493,68099,70169,69267,68228,69936,70480,
281961302121,3863,33546,5159,10782,12109,14413,18678,20199,23992,26709,28284,
281962302121,4113,38998,4386,7581,20162,20545,20204,21231,25263,27782,38112,
281962802121,4028,38188,12076,12661,13876,15598,19012,19335,23777,37625,38269,
281964802121,5509,39071,5663,7740,10983,15465,16933,26002,25753,26437,28178,
281965302121,3796,32787,4675,7012,10989,22848,25296,25439,25492,28280,29251,
281965802121,3973,36597,5097,6989,10241,13338,16619,18990,28188,33101,29642,
281966302121,6466,37625,6600,8147,11564,17266,17942,21062,32686,33771,34118,
281966802121,4251,35068,5463,8381,11417,13028,16097,22345,22809,33663,34438,
281969302121,4354,44247,5398,9727,10921,14463,16469,25208,25247,25488,33121,
281970302121,4960,34744,5164,8712,10399,19470,20858,21697,28589,28914,29702,
281970802121,6495,35350,6928,10359,19219,22624,22834,23257,27403,28247,31415,
281971302121,8005,36623,39462,9659,13059,13584,18089,29360,30829,32598,33922,
281971802121,14605,48671,49829,18181,14731,19353,23388,25497,25969,27660,30122,
281972302121,7325,32339,8534,8772,11972,14406,18491,20811,22391,25451,29257,
281973302121,7531,40036,7994,13444,14394,14677,19655,20189,22967,28057,29359,
281973802121,4084,38043,4587,8426,10539,13285,16165,19069,22151,34384,37641,
281974302121,11431,33296,11646,11936,13233,15669,19080,20032,22521,26121,28797,
281976302121,4988,47641,48256,8310,12744,14107,16304,21798,22250,28037,29766,
281976802121,5969,46146,6427,8767,10329,13569,23851,28183,28960,29508,31600,
281978302121,6074,37706,6432,9928,11083,14189,23502,24186,24513,31947,33013,
281978802121,5586,35861,37477,7953,22565,25865,24746,25781,25666,34644,35663,
281979302121,3993,35031,6934,7950,14802,15380,20037,20154,22958,25762,34198,
281979802121,5279,33949,5705,10002,11447,18052,18364,21986,24606,28221,28607,
281980802121,5304,34822,38092,10584,10353,22411,23627,24309,24762,27261,30977,
281982302121,4795,38354,7449,7492,14815,14998,16135,19559,23866,26475,28433,
281982802121,3717,35428,4314,7749,10036,14157,25561,25929,27523,26863,29334,
281983302121,4569,37029,7872,14299,16171,16192,16703,20064,27870,28813,29115,
281984302121,6026,42236,44654,7522,11371,13989,17087,21729,23377,28108,29553,
281985802121,43972,69942,70253,70149,71021,70567,70644,70750,71049,70913,75552,
281986802121,4316,32579,5431,7543,10543,27814,18502,20464,23729,29510,29831,
281988302121,7664,36781,36841,9339,10644,13482,23202,24827,25040,29364,29604,
281988802121,3798,44400,4378,7980,10175,13943,19153,20788,22404,28178,28423,
281989802121,7662,42142,43412,7808,10363,15475,16173,19473,22194,25336,30244,
281990302121,5337,37148,5965,7961,11473,17469,17693,19667,23607,26692,29174,
281991802121,3861,32973,4147,7152,10709,13013,17004,21298,22627,25335,28263,
281992302121,4976,33168,5187,9953,11095,17914,23086,23320,23951,25452,28294,
281992802121,6958,38973,39260,9691,10335,16652,16867,28591,29021,37848,38174,
281993302121,10515,37124,10697,13233,13425,16627,17659,20092,22818,26402,28444,
281995302121,4585,37061,6701,8740,16394,16876,17565,30133,32030,32383,32257,
281997302121,8116,36269,36786,8433,12391,13449,20492,20626,22246,25028,29526,
281997802121,9976,40218,10138,11782,12727,13338,16575,19699,25850,26708,31608,
281999302121,4334,34592,7122,8863,10669,15087,16769,20559,23326,33206,34217,
282000802121,5375,34426,6254,11277,13478,14075,28087,30506,29777,30236,30362,
282003302121,4239,35435,4729,7494,10099,13076,22496,23701,31427,32029,33119,
282003802121,8545,35487,39221,7715,14201,14413,16720,26397,27691,29693,30987,
282004802121,7932,34939,36197,8063,10871,13213,24733,25031,25915,29413,29540,
282005302121,5477,39620,6704,7138,10526,13381,16807,20631,22221,25143,28832,
282005802121,5106,37215,38551,8615,11188,20219,20679,21799,22983,27005,33857,
282006802121,5682,35065,37477,8548,10171,13053,17469,19032,22435,25140,29265,
282009302121,3982,41041,5339,14144,14527,16647,19242,19834,22434,25346,40063,
282009802121,4190,33689,5192,7179,10271,13192,16730,26432,27247,27420,28823,
282010802121,6603,35826,10200,14115,15053,16987,19098,20159,23760,26154,28669,
282011302121,9365,46416,44162,11733,13065,13340,24655,25959,26517,27361,28696,
282011802121,5299,35389,36467,8431,10154,13588,16145,34048,34269,34615,34737,
282012302121,4129,33141,5183,8125,10366,13809,19846,20516,22517,26005,28168,
282014302121,5678,37645,5849,10796,12341,16579,17043,19607,22061,25982,30124,
282015302121,4914,35734,6501,10738,11497,15913,16759,19974,25152,26528,29496,
282017802121,5877,35411,9776,10236,10752,15493,17817,19173,23875,26286,29664,
282018802121,7706,39293,8102,8458,13183,16168,16534,23798,24711,25829,30608,
282019302121,5350,34538,5781,11118,11459,14400,16223,20986,22182,28319,31697,
282021802121,7144,38080,39529,7492,11502,17673,18036,23534,23874,36185,38285,
282022302121,4260,35337,4706,7536,9935,13254,16846,20807,23250,34311,34686,
282023302121,3578,38196,4603,14799,15764,16119,24623,25106,26285,26094,31650,
282025802121,5205,37610,39376,7217,11404,13077,19973,20114,28665,30534,29647,
282027302121,4636,35493,5412,9391,11221,15827,16600,20081,26753,27504,29093,
282027802121,13265,34938,14305,15655,15027,15071,19147,20415,22828,26752,32371,
282028302121,3634,34030,5184,7206,10560,14873,17351,21581,22487,31720,31973,
282028802121,6594,39827,40543,19077,20354,20911,21395,20863,22816,29027,29451,
282029302121,4029,33255,5305,7462,18181,18996,19326,20629,24415,27749,28513,
282029802121,5063,33552,6720,7831,10327,14522,19639,20591,25767,27023,28624,
282030302121,11098,35609,11954,13514,12644,13607,23065,23565,23843,28017,28788,
282031802121,4408,37452,5486,8434,12854,14044,18072,26089,26481,26927,30585,
282032302121,6719,33519,37588,9525,17685,19383,19013,20528,23180,25264,28814,
282032802121,5002,33035,7223,8360,10689,15928,17073,20512,23911,26077,28372,
282035302121,3701,33219,9976,13261,14078,15961,20237,22004,24858,27382,29014,
282035802121,4029,34283,6157,7157,10033,14146,16294,19206,22199,26872,31825,
282036802121,8577,33841,39991,40593,12619,13479,19566,20275,30649,30878,31258,
282037802121,10952,44418,45414,44744,12478,15771,17377,24821,26113,26425,28287,
282038302121,4366,37375,12867,14727,17544,17727,17948,19808,23996,28213,29526,
282038802121,28749,69707,70342,28144,29377,29390,36289,46370,46995,48080,50591,
282039302121,27835,64583,64590,64814,65774,66099,66178,28943,29414,35924,43228,
282041802121,10389,42284,10818,10994,11182,14356,19687,23807,27110,27440,29603,
282043802121,4930,33600,4834,7247,10286,13040,16940,23484,26715,30657,30961,
282044302121,5736,33314,37379,7405,15667,16617,16874,20395,23354,26735,28555,
282044802121,7232,40229,40379,10425,16571,16975,17504,38166,38463,39533,39232,
282045302121,12693,33792,13149,13485,14111,15475,17431,21561,30773,31017,31997,
282045802121,4170,32770,5026,13124,14952,15109,16807,22179,27032,28084,29302,
282046302121,63689,90549,93581,92208,93079,93680,93777,92648,92917,93273,93473,
282047802121,27470,52136,55347,52145,55330,55497,55560,30008,33603,37702,39212,
282048802121,8077,35449,8215,10455,12795,14381,16633,19126,23359,27609,29538,
282049302121,5511,33375,5717,8343,10949,13088,17010,25047,25592,27407,30629,
282049802121,6064,34300,6529,8537,10964,13671,19412,20631,22228,25484,28798,
282050302121,11517,33300,14051,14829,15039,16252,18820,19723,23220,25654,30929,
282051802121,7033,33420,36657,7828,19225,19919,20184,21531,22700,25744,27961,
282052302121,12791,42017,13408,15817,18039,17869,18540,21492,26241,26397,31062,
282053302121,7503,36172,8365,9784,11110,14630,16908,20265,28081,28939,32009,
282055302121,4210,33839,4649,7278,11141,13601,20430,22958,23124,27681,28271,
282056302121,4748,7029,7403,8487,10125,13705,26116,27836,27860,28316,30385,
282057302121,7293,33323,7855,8245,11214,13241,16344,25601,27988,28125,29010,
282058302121,4746,36601,4982,8385,18779,19954,21758,22559,22992,25868,28783,
282058802121,11241,50102,48254,47977,12571,18081,18218,19369,26216,35669,36398,
282060302121,4584,45160,7225,8289,13439,14416,17776,20489,23223,25846,28317,
282062802121,5016,34640,5815,11683,13395,22108,22372,22672,23805,25775,30117,
282063802121,3768,37081,4420,7456,12681,13795,16096,21653,25051,30060,31323,
282066302121,11751,36937,12594,13280,14394,15125,18089,25511,25718,26871,29285,
282066802121,8692,40576,40337,8985,18129,17685,18724,21922,24794,26103,35720,
282067302121,3866,34661,4994,7280,10520,14618,17209,19653,23129,25217,33239,
282067802121,61374,72447,79287,79502,79608,81945,80194,80402,79722,79939,80052,
282069302121,4584,36549,37348,7541,18960,17803,17836,30147,34625,32296,34613,
282069802121,7379,37475,7687,7829,11093,14672,17314,19089,21999,25929,36792,
282070302121,10014,9800,10924,10998,11257,13272,18815,19699,27861,29203,29019,
282072302121,3824,35877,4582,9817,10496,14436,16584,22402,22833,26463,28552,
282073802121,18757,51582,18951,22492,27688,28541,28373,29161,31252,34562,36721,
282074302121,4399,34659,6814,7328,10669,14678,19381,21866,23185,26456,29859,
282074802121,3975,32448,5456,12075,12603,22271,24639,25072,25480,30306,31929,
282075302121,4664,36005,5064,10163,11152,14269,19160,19343,30542,31094,32187,
282075802121,4605,46758,4647,7456,10269,13384,18840,28087,28652,29469,29761,
282076302121,4437,34946,5093,16791,17308,17119,19114,20164,31767,31989,32493,
282076802121,5337,36943,7701,7858,10264,13693,16591,19808,28576,29407,30650,
282078302121,5377,42707,7862,9878,10774,14143,18609,19605,23242,26777,30364,
282079302121,7210,36135,7522,7983,10761,14923,22791,23833,25173,26334,29658,
282079802121,3955,37726,4636,18550,22155,21134,20380,25938,26770,30012,33739,
282080302121,8032,44552,8186,8506,19645,17936,19917,20345,22852,28000,41134,
282080802121,3951,36215,4951,17691,19598,18874,19598,21596,24019,27860,30415,
282081802121,5427,34954,5470,7291,10648,13996,21822,22025,26130,26706,28251,
282082802121,8738,32640,11519,11514,19732,21067,23015,22845,26499,29356,29670,
282083802121,5559,33244,35488,8708,11144,13653,19276,20438,23875,25031,28064,
282084302121,8522,33322,12627,14659,14868,15665,24542,24958,25400,25843,31035,
282084802121,10372,48232,48432,48595,13934,14485,23011,25653,28624,31043,31207,
282087302121,3794,32843,5530,8736,11313,13360,16385,19736,24582,25499,28361,
282089302121,13119,37669,13340,14039,14585,14848,16290,20923,22680,25391,37648,
282090802121,3546,34111,4251,10686,11826,15666,20073,20494,23798,27937,28190,
282092802121,5539,33482,36018,8986,13492,14583,17459,25233,26479,26715,29505,
282093302121,5012,43645,44080,10013,11022,13337,16093,18964,22657,26005,28212,
282094302121,10629,54245,14407,15918,16234,16345,16528,27396,29069,28594,29503,
282095302121,8294,36991,11194,10869,18765,21353,22566,22931,23592,26289,28309,
282095802121,3815,36547,4868,10762,12632,17480,17965,24427,24962,25504,29831,
282096302121,4793,37347,7018,8183,15240,15478,28199,28746,29548,30230,30533,
282098802121,7933,34384,41669,10742,11124,25001,25145,25340,25925,26144,33447,
282099802121,3829,33720,4753,8231,10111,16766,17428,19601,24925,25262,28936,
282101302121,7821,33278,40311,9563,12035,13126,17421,20252,22483,27670,29271,
282103802121,34581,54920,54920,55470,56208,56405,56574,60845,66130,40164,37088,
282105302121,4356,35415,5290,9583,10010,13640,21464,21779,22993,25828,33593,
282106802121,4763,34014,7663,8259,20979,21757,23118,22178,23257,26371,28306,
282108302121,5359,37623,6686,13074,13555,13960,17178,19209,22305,25439,28063,
282109802121,5175,34030,5499,9996,10727,16243,18803,19147,22029,25674,31605,
282110302121,10474,35649,11162,12571,12990,14747,16332,19210,23007,26506,30664,
282110802121,4146,34051,5018,9942,11073,14379,20150,20727,24607,27837,29044,
282111302121,10227,36567,11689,11221,12637,17488,25501,26929,28253,28389,31286,
282111802121,5474,37817,38086,7492,10707,13247,16797,28545,29112,29476,29908,
282112802121,5322,37978,38643,9949,10398,14722,16285,20033,22866,29905,30086,
282113302121,5201,37525,7531,8035,10746,15006,16634,19086,23155,30959,35407,
282113802121,4272,33118,4353,9020,10669,14595,16703,20261,22323,25257,28610,
282114802121,4254,35029,6822,7652,10201,14386,17321,20696,23388,28077,29354,
282116802121,5350,33613,36989,7016,15757,16257,24266,25872,26735,27449,30612,
282117802121,18125,45180,46356,46563,46581,52025,19189,19508,30266,31509,31206,
282120802121,6977,32581,6994,10374,11565,14717,24697,25213,25613,28005,28301,
282121302121,10025,11440,11929,12097,13129,17064,19681,20592,23543,33019,36919,
