,W-0,R-0,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,
280902129680,5912,108852,13454,21443,31479,43265,52376,63649,75570,84718,96027,
280902629680,5973,112574,17142,21498,31243,52211,54505,62906,73666,89436,91679,
280903629680,6532,124250,15263,26810,34751,46066,61314,64413,78811,85099,91955,
280904629680,6251,106261,12009,28102,32076,43706,54213,62578,74945,83571,91383,
280905629680,5596,104820,12198,23006,33840,41927,53247,61105,71232,81306,91975,
280909129680,15058,110988,17395,22311,42941,44394,55015,62599,72425,82526,91560,
280909629680,8063,105138,13883,21584,34587,43087,55589,64770,76076,86187,93298,
280910629680,7258,117861,11578,21366,35716,45113,51985,61437,72301,83919,95844,
280914629680,9045,105079,14381,24751,41365,43603,54172,61458,71909,82103,92559,
280917129680,2271,105479,11869,26427,33525,41099,52884,61414,71409,85780,91530,
280918129680,3569,104896,11531,30795,35415,45198,54208,64284,71970,84570,92066,
280919629680,7839,121044,13373,28794,33525,41612,61813,62757,79524,82903,99384,
280920129680,3838,120560,13514,21306,38919,49022,51512,67655,76454,95862,97369,
280920629680,11213,105018,12400,21204,31594,41642,51658,61230,71239,82725,100016,
280923629680,11122,112372,12499,23718,31842,47173,53380,62524,71026,81955,92004,
280924129680,5509,110645,14269,28307,43722,43967,60247,63870,71300,81381,93639,
280924629680,4188,112257,12283,22220,34696,42528,60531,65220,71233,95404,96130,
280925129680,9057,118241,12628,23239,31450,46732,53581,69399,76198,82855,104064,
280926129680,13349,121710,14522,28245,48409,51017,52871,61382,81200,82911,95561,
280929129680,4137,102672,11906,25392,44813,46985,55983,61231,71297,82822,91087,
280931129680,5297,107812,13547,21160,31584,41679,51446,61656,71405,82448,94041,
280931629680,6738,112088,16684,21683,33970,44193,51943,63312,74101,81297,103895,
280932129680,5281,106423,19433,23118,32037,41464,52120,71388,79055,81300,91665,
280933629680,6543,107075,12217,21268,31029,42674,54166,67592,72498,81513,97886,
280934129680,6892,116302,15666,21310,35507,42746,52886,62857,77831,84934,92003,
280936629680,16206,106767,18258,25447,34064,41613,62724,63504,72923,81133,94787,
280937629680,6500,103973,16916,25534,37024,55870,58126,63505,72047,81353,94308,
280938129680,5147,110446,11564,23495,38285,43286,51290,64531,72640,81235,95582,
280940129680,9003,105584,14235,28840,37930,42302,52242,63627,71537,82591,91905,
280941129680,6057,104951,12737,24265,37967,44902,51507,61481,79941,81856,91789,
280941629680,15779,108658,19205,24367,31986,41355,55620,63072,71541,81291,101897,
280942629680,5380,105262,11231,27225,33585,41626,58425,64806,76802,86565,91302,
280943629680,11025,108868,13149,21484,36688,42874,60803,62476,79115,83589,91089,
280944129680,10290,109221,12888,22235,31149,43021,58751,61258,73537,81978,92069,
280945629680,5505,111493,11876,22437,34490,41220,63059,66268,76425,87971,91912,
280947129680,6415,108940,11814,21560,33974,43587,51386,63665,73516,81493,93045,
280947629680,3718,3970,12559,24255,37565,52274,54434,61838,76056,82994,91492,
280950129680,11567,112589,18284,21377,31139,41461,52798,61175,72992,86149,94394,
280950629680,5469,106793,11273,21931,31310,54180,55317,61457,74111,85843,91422,
280951129680,5058,110074,12990,21935,33489,51215,51979,62986,74147,84269,92934,
280952129680,5626,120865,11049,23899,31433,42900,52212,61385,71434,86229,92269,
280952629680,6106,124424,16475,22499,34028,42023,51392,62897,71513,81386,91458,
280953129680,6470,6885,12491,32618,34907,43561,55077,62636,72198,81745,92496,
280954629680,6912,106584,12817,21354,34694,41266,53036,63909,80761,81723,91383,
280955129680,9535,10402,14392,21029,33168,41095,51357,61392,73657,82618,92259,
280956129680,3509,105758,11262,22915,31308,42382,55303,61155,72149,81484,92173,
280956629680,4125,107597,16200,24526,33319,46187,52497,65829,78047,82575,93910,
280957629680,5801,111544,11185,26219,33720,42361,51419,63476,77489,83319,91633,
280958129680,20526,20923,22088,25688,34257,42732,51569,61397,73943,90149,91163,
280958629680,3584,109309,11485,22894,35896,48005,54695,62908,71413,82915,92881,
280959129680,6912,103942,18235,26470,33908,51861,53012,62411,71365,82237,96127,
280960629680,9941,107005,11879,29058,32100,47608,55773,66054,73883,81883,98789,
280962629680,8560,107080,21743,24683,31361,42667,58052,62743,71521,93638,95775,
280963629680,7825,104519,11534,22200,34554,43458,51164,65698,74009,85677,96997,
280964129680,4606,152257,21100,23861,31642,41388,59419,64133,157016,152073,152549,
280964629680,5663,107800,12784,24544,41075,41451,52818,62975,71497,87588,92745,
280965129680,115949,123025,127548,133425,116079,121177,120650,121443,121597,127170,123141,
280966629680,7698,109239,12582,33464,34588,50943,51612,68649,72476,81367,93034,
280969129680,4109,113639,11785,21318,42421,42488,61365,62915,77062,84046,91930,
280969629680,7513,104018,12066,21412,43621,45291,62923,62812,81897,83682,91366,
280970129680,10917,103490,14936,28962,33980,45901,63275,63563,74443,81159,98659,
280971129680,11428,105235,13103,21355,32015,42670,52028,65576,72829,82043,93793,
280972129680,8747,107248,12647,21889,31671,41607,59282,62101,88559,90767,93539,
280972629680,6780,104060,14229,24235,31155,41157,51228,63189,74408,83180,91398,
280973129680,3967,104797,12361,21646,43679,45753,56004,65654,71289,81267,96841,
280973629680,6378,109467,11286,22488,32846,41669,51015,71064,75177,84071,91486,
280974629680,8229,103646,11200,20979,31552,44667,52362,61726,82147,82673,91732,
280976129680,4133,104783,12194,21409,31293,42624,57066,61875,73678,82501,91317,
280976629680,6310,106109,15567,26767,32897,43804,51786,66036,74868,84718,91620,
280977129680,8099,102710,12986,22300,31357,42018,51401,63534,71900,82674,94579,
280977629680,7052,107210,14967,28510,34275,41502,59590,62410,73747,86705,91471,
280979129680,7593,110999,11871,25454,33728,42911,53435,65108,76917,81310,91262,
280980129680,4477,106714,16555,22297,31584,41220,52240,63455,71891,84919,105601,
280980629680,15171,114183,15392,42477,42646,43357,61422,68820,76834,82656,92711,
