,W-0,R-0,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,
280902129680,1,2,1,1,1,1,1,1,1,1,1,
280902629680,1,2,1,1,1,1,1,1,1,1,1,
280903629680,1,2,1,1,1,1,1,1,1,1,1,
280904629680,1,2,1,1,1,1,1,1,1,1,1,
280905629680,1,2,1,1,1,1,1,1,1,1,1,
280909129680,1,2,1,1,1,1,1,1,1,1,1,
280909629680,1,2,1,1,1,1,1,1,1,1,1,
280910629680,1,2,1,1,1,1,1,1,1,1,1,
280914629680,1,2,1,1,1,1,1,1,1,1,1,
280917129680,1,2,1,1,1,1,1,1,1,1,1,
280918129680,1,2,1,1,1,1,1,1,1,1,1,
280919629680,1,2,1,1,1,1,1,1,1,1,1,
280920129680,1,2,1,1,1,1,1,1,1,1,1,
280920629680,1,2,1,1,1,1,1,1,1,1,1,
280923629680,1,2,1,1,1,1,1,1,1,1,1,
280924129680,1,2,1,1,1,1,1,1,1,1,1,
280924629680,1,2,1,1,1,1,1,1,1,1,1,
280925129680,1,2,1,1,1,1,1,1,1,1,1,
280926129680,1,2,1,1,1,1,1,1,1,1,1,
280929129680,1,2,1,1,1,1,1,1,1,1,1,
280931129680,1,2,1,1,1,1,1,1,1,1,1,
280931629680,1,2,1,1,1,1,1,1,1,1,1,
280932129680,1,2,1,1,1,1,1,1,1,1,1,
280933629680,1,2,1,1,1,1,1,1,1,1,1,
280934129680,1,2,1,1,1,1,1,1,1,1,1,
280936629680,1,2,1,1,1,1,1,1,1,1,1,
280937629680,1,2,1,1,1,1,1,1,1,1,1,
280938129680,1,2,1,1,1,1,1,1,1,1,1,
280940129680,1,2,1,1,1,1,1,1,1,1,1,
280941129680,1,2,1,1,1,1,1,1,1,1,1,
280941629680,1,2,1,1,1,1,1,1,1,1,1,
280942629680,1,2,1,1,1,1,1,1,1,1,1,
280943629680,1,2,1,1,1,1,1,1,1,1,1,
280944129680,1,2,1,1,1,1,1,1,1,1,1,
280945629680,1,2,1,1,1,1,1,1,1,1,1,
280947129680,1,2,1,1,1,1,1,1,1,1,1,
280947629680,1,1,1,1,1,1,1,1,1,1,1,
280950129680,1,2,1,1,1,1,1,1,1,1,1,
280950629680,1,2,1,1,1,1,1,1,1,1,1,
280951129680,1,2,1,1,1,1,1,1,1,1,1,
280952129680,1,2,1,1,1,1,1,1,1,1,1,
280952629680,1,2,1,1,1,1,1,1,1,1,1,
280953129680,1,1,1,1,1,1,1,1,1,1,1,
280954629680,1,2,1,1,1,1,1,1,1,1,1,
280955129680,1,1,1,1,1,1,1,1,1,1,1,
280956129680,1,2,1,1,1,1,1,1,1,1,1,
280956629680,1,2,1,1,1,1,1,1,1,1,1,
280957629680,1,2,1,1,1,1,1,1,1,1,1,
280958129680,1,1,1,1,1,1,1,1,1,1,1,
280958629680,1,2,1,1,1,1,1,1,1,1,1,
280959129680,1,2,1,1,1,1,1,1,1,1,1,
280960629680,1,2,1,1,1,1,1,1,1,1,1,
280962629680,1,2,1,1,1,1,1,1,1,1,1,
280963629680,1,2,1,1,1,1,1,1,1,1,1,
280964129680,1,2,1,1,1,1,1,1,1,1,1,
280964629680,1,2,1,1,1,1,1,1,1,1,1,
280965129680,1,2,2,2,1,1,1,1,1,1,1,
280966629680,1,2,1,1,1,1,1,1,1,1,1,
280969129680,1,2,1,1,1,1,1,1,1,1,1,
280969629680,1,2,1,1,1,1,1,1,1,1,1,
280970129680,1,2,1,1,1,1,1,1,1,1,1,
280971129680,1,2,1,1,1,1,1,1,1,1,1,
280972129680,1,2,1,1,1,1,1,1,1,1,1,
280972629680,1,2,1,1,1,1,1,1,1,1,1,
280973129680,1,2,1,1,1,1,1,1,1,1,1,
280973629680,1,2,1,1,1,1,1,1,1,1,1,
280974629680,1,2,1,1,1,1,1,1,1,1,1,
280976129680,1,2,1,1,1,1,1,1,1,1,1,
280976629680,1,2,1,1,1,1,1,1,1,1,1,
280977129680,1,2,1,1,1,1,1,1,1,1,1,
280977629680,1,2,1,1,1,1,1,1,1,1,1,
280979129680,1,2,1,1,1,1,1,1,1,1,1,
280980129680,1,2,1,1,1,1,1,1,1,1,1,
280980629680,1,2,1,1,1,1,1,1,1,1,1,
280981129680,1,2,1,1,1,1,1,1,1,1,1,
280981629680,1,2,1,1,1,1,1,1,1,1,1,
280982629680,1,2,1,1,1,1,1,1,1,1,1,
280983129680,1,2,1,1,1,1,1,1,1,1,1,
280987129680,1,2,1,1,1,1,1,1,1,1,1,
280987629680,1,2,1,1,1,1,1,1,1,1,1,
280989629680,1,2,1,1,1,1,1,1,1,1,1,
280990129680,1,2,1,1,1,1,1,1,1,1,1,
280990629680,1,2,1,1,1,1,1,1,1,1,1,
280991129680,1,2,1,1,1,1,1,1,1,1,1,
280992629680,1,2,1,1,1,1,1,1,1,1,1,
280993629680,1,2,1,1,1,1,1,1,1,1,1,
280996129680,1,2,1,1,1,1,1,1,1,1,1,
280996629680,1,2,2,1,1,1,1,1,1,1,1,
280997129680,1,2,1,1,1,1,1,1,1,1,1,
280997629680,1,2,1,1,1,1,1,1,1,1,1,
280998629680,1,2,1,1,1,1,1,1,1,1,1,
280999129680,1,2,1,1,1,1,1,1,1,1,1,
280999629680,1,2,1,1,1,1,1,1,1,1,1,
281003129680,1,2,1,1,1,1,1,1,1,1,1,
281003629680,1,2,1,1,1,1,1,1,1,1,1,
281004629680,1,2,1,1,1,1,1,1,1,1,1,
281007129680,1,2,1,1,1,1,1,1,1,1,1,
281007629680,1,2,1,1,1,1,1,1,1,1,1,
281009129680,1,2,1,1,1,1,1,1,1,1,1,
281010129680,1,2,1,1,1,1,1,1,1,1,1,
281010629680,1,2,1,1,1,1,1,1,1,1,1,
281011129680,1,2,1,1,1,1,1,1,1,1,1,
281012129680,1,2,1,1,1,1,1,1,1,1,1,
281013129680,1,2,1,1,1,1,1,1,1,1,1,
281014129680,1,2,1,1,1,1,1,1,1,1,1,
281015629680,1,2,1,1,1,1,1,1,1,1,1,
281016129680,1,2,1,1,1,1,1,1,1,1,1,
281017129680,1,2,1,1,1,1,1,1,1,1,1,
281017629680,1,2,1,1,1,1,1,1,1,1,1,
281018129680,1,2,1,1,1,1,1,1,1,1,1,
281018629680,1,2,1,1,1,1,1,1,1,1,1,
281019629680,1,2,1,1,1,1,1,1,1,1,1,
281020629680,1,2,1,1,1,1,1,1,1,1,1,
281021129680,1,2,1,1,1,1,1,1,1,1,1,
281021629680,1,2,1,1,1,1,1,1,1,1,1,
281022129680,1,2,1,1,1,1,1,1,1,1,1,
281024629680,1,2,2,2,2,2,2,2,2,2,2,
281025129680,1,2,1,1,1,1,1,1,1,1,1,
281027129680,1,2,1,1,1,1,1,1,1,1,1,
281027629680,1,2,1,1,1,1,1,1,1,1,1,
281028129680,1,2,1,1,1,1,1,1,1,1,1,
281029129680,1,2,1,1,1,1,1,1,1,1,1,
