,W-0,R-0,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,
281945802121,5369,38960,46154,7677,10325,14195,20931,22033,24811,30139,30756,
281946302121,8514,38877,8697,9826,17067,18048,19051,22409,24519,26925,29770,
281947302121,11176,39606,43002,10919,11029,14008,18502,20101,22982,30207,30428,
281948302121,7613,33393,38291,16550,17511,18525,20229,21994,25480,28281,29102,
281949302121,13228,38177,13948,14339,17317,17417,17648,32839,32778,32249,32553,
281952802121,5098,35088,7388,9631,11049,13676,16572,19910,23637,25464,34670,
281953302121,4331,33686,4560,7418,10820,15100,16296,19822,23102,27033,32690,
281954302121,6134,42106,42590,7754,12493,13254,20152,25808,26776,27615,38473,
281958302121,8137,39734,7171,10788,14492,19251,20173,21617,25349,26529,39207,
281960802121,3814,33535,4797,8335,10322,14843,17470,22998,23767,28413,28577,
281961802121,4597,35320,8257,16646,18177,19602,19402,20615,24416,26142,29166,
281963302121,4229,41202,4683,8034,10278,14472,21572,21917,24388,26778,40059,
281963802121,4250,34759,6285,8703,20370,20447,20980,21967,22607,27920,30690,
281964302121,7505,40615,10231,10416,11134,15558,18790,21843,22693,25703,28520,
281967302121,11016,40481,11741,13006,13246,16712,24605,25139,25534,25771,39566,
281967802121,5821,36035,6843,13119,13629,14319,18805,22451,24662,25107,30276,
281968302121,4679,45931,5015,10340,10723,13448,16556,19422,22200,27084,28365,
281968802121,5839,35781,6794,14553,16046,21023,21817,24359,24609,34249,35006,
281969802121,4190,33661,6937,7874,10249,13382,15944,21007,22195,26407,30223,
281972802121,4869,35845,7255,8293,11761,15694,16604,19617,28277,29325,30122,
281974802121,3559,35184,12689,12984,13955,14505,22805,23132,24995,25551,33286,
281975302121,10654,42424,42548,10859,11949,13590,17449,28812,39293,29621,39074,
281975802121,14286,32834,46505,15524,15972,16666,17534,21705,22377,27966,28582,
281977302121,4059,33785,6631,11379,13219,19108,19213,20021,23089,25659,33534,
281977802121,4352,49999,4609,9714,10855,15537,18736,19185,26152,26995,30994,
281980302121,5205,36149,37661,7385,12782,13556,17026,20580,22114,25297,30396,
281981302121,3911,35362,5331,8098,10327,13460,17084,19627,22401,25451,28972,
281981802121,6598,37302,40613,7356,10390,13877,16275,23280,27481,29597,29657,
281983802121,4312,38372,4264,8826,16124,16478,17121,20461,23478,25614,30986,
281984802121,13396,34015,14112,14607,14699,15491,19266,20408,22263,27433,31993,
281985302121,5652,36283,6507,7333,10101,16529,16828,19336,23835,26098,29651,
281986302121,7742,41380,41422,8945,13105,16503,25093,25640,25861,26510,29567,
281987302121,3604,35995,6612,7401,10219,15744,16011,21379,22184,25554,35491,
281987802121,16029,40291,55134,56058,16039,21067,21367,21735,22346,27630,28854,
281989302121,8624,35052,9105,9559,11336,14094,21996,22319,24652,25858,30416,
281990802121,4135,32972,5820,7136,10277,14321,16874,19328,22176,25206,28253,
281991302121,5160,43803,5371,13430,14755,14625,16478,21352,22935,30644,31929,
281993802121,3736,35762,5047,8764,10292,14763,17014,21107,22189,34306,35446,
281994302121,7038,34139,40441,7830,11382,15930,17867,27815,28490,28677,29088,
281994802121,3866,37281,4822,7213,12545,22125,25374,26189,26101,25998,33712,
281995802121,4045,33828,4642,9974,10635,13421,17712,22833,23116,32353,33461,
281996302121,12995,34211,17053,18705,17753,18412,19738,21700,25710,27068,28421,
281996802121,9687,34146,10862,10787,11742,18019,18358,24693,30021,29416,30220,
281998302121,3734,34099,6845,7703,10833,22318,24922,25204,25927,28826,29548,
281998802121,5663,33564,36031,11876,12781,15811,16609,21469,22954,25698,28849,
281999802121,3724,34476,6756,11181,12243,14457,16403,28354,28357,29501,30038,
282000302121,4210,45920,6710,8999,10125,13513,16314,19046,28604,29992,30510,
282001302121,7640,38954,46506,7940,10104,13965,17613,21789,22119,29377,30032,
282001802121,12105,35983,44428,13355,17063,17372,28113,30063,29506,29635,29851,
282002302121,16366,32393,16305,17556,17856,18174,19198,20102,22205,25114,30969,
282002802121,6745,34824,6937,7213,11687,18474,19246,20732,27855,28037,29792,
282004302121,5143,34440,5114,8990,16827,17197,18839,22149,23054,28013,29048,
282006302121,6841,36797,39124,7962,18369,18863,19580,22125,24565,27766,30164,
282007302121,4604,34406,5091,7866,13145,16083,19407,33533,29378,29836,30261,
282007802121,3869,41280,8954,10771,11199,15906,16317,20282,23459,26646,30204,
282008302121,4636,34685,14940,17305,18422,18770,19399,26338,26771,28112,30780,
282008802121,23613,68333,69086,24339,28343,26554,26385,28301,29714,30803,32171,
282010302121,5744,41431,11701,13120,13570,19819,21160,22444,26385,33232,40329,
282012802121,5389,35377,5640,8293,10974,17687,21011,22232,22509,29675,29911,
282013302121,5462,39806,5657,10249,11559,13250,19071,19327,23394,25239,38127,
282013802121,5586,37436,5856,9653,14822,15491,19004,19434,22212,25059,34044,
282014802121,8815,47171,10316,10654,13443,14370,17169,19802,22530,25194,45025,
282015802121,8477,35390,40434,10810,10664,14374,20490,22272,23354,28185,30093,
282016302121,10379,44878,10846,10847,11493,13680,16479,22145,24690,27734,30191,
282016802121,10531,40033,40827,10739,15119,15847,26022,27579,27959,28132,29412,
282017302121,6867,37482,38164,8561,14259,14609,17028,21679,22982,26924,29382,
282018302121,9620,33383,10677,12857,11813,15624,19266,20224,22300,25252,28024,
282019802121,3426,38266,5995,7755,17720,22361,24799,25323,25448,26636,36626,
282020302121,10626,34089,11197,12066,11596,13472,16745,20750,22047,25878,32649,
282020802121,72526,96586,96668,97101,72282,72174,76365,74579,72961,73060,73175,
282021302121,6583,34858,36928,14433,14987,17169,17163,19912,22201,34717,30561,
282022802121,5021,33116,4955,8352,11385,15631,18575,24743,25218,26213,30582,
282023802121,4148,38723,5950,8555,10599,13735,17487,22747,23011,26160,28577,
282024302121,6649,36068,6553,11010,12987,14166,25578,26205,26951,26700,28988,
282024802121,6805,44203,6678,7606,12969,15656,16683,21631,22234,25341,29162,
282025302121,4828,35852,7271,12164,12579,14695,20079,21341,24695,25253,35013,
282026302121,5536,40418,8359,9267,11741,22047,22914,23687,24024,29519,38655,
282026802121,6514,35806,6974,17467,22289,22248,22679,23340,27808,26516,30152,
282030802121,4119,39044,5715,7952,12122,13871,30351,31549,31485,31771,31963,
282031302121,7240,33186,7466,8396,19821,22997,22014,20635,24366,27360,30183,
282033302121,7548,37629,10788,11286,11629,23077,23743,23843,29485,29672,35001,
282033802121,3795,37782,4502,15502,16649,18845,18106,21109,22736,28583,33722,
282034302121,8310,41556,42194,10185,12779,25104,26149,26806,27847,28083,28986,
282034802121,4574,45982,45189,7262,22247,23648,23923,24647,25725,27575,30172,
282036302121,10777,37792,41228,42458,12533,13266,16323,21422,25290,25667,35758,
282037302121,4274,38321,6215,13017,14246,15486,21577,21921,26551,28002,36995,
282039802121,6579,39387,39758,7848,12786,13759,18539,19340,25173,25323,28569,
282040302121,6970,35109,36212,8299,10909,19654,21065,22917,23501,26390,28220,
282040802121,4934,45292,4803,8942,13519,15495,23482,24678,25094,26243,29135,
282041302121,36546,58911,59992,60174,61621,62115,62581,66008,66254,69707,37293,
282042302121,4573,33225,5668,8745,13695,13844,18953,20148,23502,32635,32825,
282042802121,4583,36620,6772,7327,18915,19664,20011,20365,27860,28242,28729,
282043302121,7344,38351,38497,9324,10374,13427,17868,21706,23094,29632,30020,
282046802121,7342,45321,7849,19551,22209,21756,22065,21864,23591,27235,30161,
282047302121,6730,35206,39293,7285,10778,13533,17693,19110,22334,25621,28232,
282048302121,7462,46839,8441,8204,14003,15418,17385,26453,27000,27353,45439,
282050802121,120548,146541,146669,147395,146845,146969,147321,147996,148263,148335,148462,
282051302121,7151,37535,7432,9455,12608,13223,16669,19529,28754,29926,30966,
282052802121,6051,35192,37087,9480,15792,17619,16840,20246,22519,25400,36001,
282053802121,4232,32982,5006,7257,10713,14070,19143,21432,23203,28945,29322,
282054302121,4413,33479,4861,7245,11556,25598,25768,26689,26975,28491,29309,
282054802121,3770,33433,4596,8379,10569,15065,16266,24156,23263,27673,29291,
282055802121,7367,35424,38632,9515,10763,15031,21955,22363,22967,27873,28154,
282056802121,7101,32762,37594,7481,10225,16635,17137,19597,23535,25788,28381,
282057802121,4441,36986,5581,12637,12929,13488,16084,18982,29966,31126,31452,
282059302121,3990,37293,5511,8229,24937,17985,18786,25847,26314,33494,33706,
282059802121,3836,44296,5617,16392,15513,16012,17360,29746,30155,32330,30345,
282060802121,5677,35655,6093,8181,19784,21326,20692,20558,22546,32948,31683,
282061302121,11728,43723,44695,11862,17220,17494,19054,31768,32261,38233,32261,
282061802121,4071,34086,4616,10064,11077,15745,23275,25462,25251,25458,33637,
282062302121,5322,35243,6837,8465,10406,15466,16687,20973,22056,25485,29596,
282063302121,3648,33684,4436,10506,12063,15692,18353,22076,25149,26057,30322,
282064302121,4230,32652,4527,8427,12403,14476,26579,27556,27210,27602,30473,
282064802121,3156,32803,4221,7159,19102,20920,20391,21562,26493,28318,28508,
282065302121,4429,35686,5368,8532,10113,14612,27850,28462,28656,29488,30611,
