,W-0,R-0,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,
282560653993,46817,70799,71817,70527,68946,69252,69621,72195,48920,47890,48713,
282562153993,10637,39216,51058,11274,12756,16371,18155,25405,27717,25989,29747,
282563153993,7118,36643,36840,8403,11182,13226,16266,19736,23681,25590,28521,
282564153993,4257,35975,6479,13561,16088,16386,18784,22316,25095,27759,29341,
282565153993,10196,47622,14465,14329,14561,14866,17801,25771,26418,28065,31237,
282565653993,19486,37784,19502,20519,21053,21651,22516,22375,25450,25966,29873,
282566153993,6984,34617,6949,9870,12967,13600,19467,20585,23577,26198,34361,
282566653993,7474,35521,39590,8661,14112,25314,25702,27913,26624,28332,32431,
282567153993,5374,36742,38801,8455,12739,13999,16494,21649,33858,35223,35900,
282567653993,5780,36394,7375,7762,17776,18650,19147,20464,24945,28230,33406,
282569153993,9557,35645,41929,10097,14594,16072,16715,22073,23721,27396,30434,
282570153993,8728,9074,10057,10212,11050,16425,17239,22127,24939,27499,30149,
282570653993,7351,35962,46671,9862,10738,14313,16995,19833,23318,27872,28862,
282571153993,8929,37129,46079,9401,17727,20401,20626,20691,25186,26410,29535,
282571653993,4369,36523,4453,14344,14508,14770,19727,21475,35495,36181,36299,
282572153993,4069,35159,5993,8598,13091,14381,18220,19465,22232,25181,28104,
282572653993,8767,37658,37829,8979,21282,21671,21516,22209,26905,28536,32762,
282573153993,5377,33570,36691,7451,10601,14420,16853,21257,22617,26078,29588,
282574153993,5581,35313,36283,7863,12478,22232,22427,22645,25265,26559,28286,
282574653993,3846,37149,5582,8121,10039,13081,16269,19291,22316,25510,30516,
282575153993,21154,156217,149625,149403,155478,152289,22618,25416,25212,30391,33964,
282575653993,7310,38608,7298,9344,14254,15168,18425,20737,22097,25684,28807,
282576653993,5845,33529,8997,9612,12594,14474,18942,19956,24869,27785,31642,
282577653993,6485,40102,41463,11113,11425,15705,18396,27590,28513,28711,29592,
282578153993,9981,34980,10381,11776,11844,18427,19192,19837,33143,33938,35035,
282580153993,13343,37393,48768,13509,14292,16004,19167,22703,23271,25309,31650,
282580653993,7922,40306,8748,10234,15619,16826,19924,22749,23828,26494,31391,
282581153993,6749,39343,42349,12470,13246,32457,33141,33311,34465,34860,34907,
282581653993,4219,33889,6798,9734,12948,14580,16595,21432,26409,26150,30618,
282582153993,6425,33703,38354,10921,14512,19332,23229,23353,24725,26105,28972,
282584653993,7422,41499,7753,11544,12429,18626,19698,19917,23222,25290,30136,
282585653993,5486,38064,38253,7395,10063,13513,31942,33929,33497,32312,33277,
282586153993,4082,37945,6803,10204,13076,13577,19896,25345,27547,31462,32304,
282586653993,5413,36044,35853,8099,12626,15950,24979,25683,26198,26807,31219,
282587153993,12401,43299,14899,18482,16664,18739,19307,23061,23329,33848,34361,
282587653993,3653,40508,5628,8585,10252,14091,16560,38392,41051,39938,40161,
282588653993,5150,38886,40329,8372,14040,18202,18745,29946,30422,31264,32094,
282589153993,6220,42708,6548,7411,10180,16112,18883,19255,22673,39675,40350,
282589653993,3675,3878,4314,8270,10261,14827,25460,25224,25666,26470,28651,
282591653993,8648,58063,8763,8990,11074,14446,17556,21952,24647,25873,31690,
282592153993,9858,38398,11111,13464,13620,14123,17609,19133,36681,37175,38367,
282593653993,4867,33206,5059,13424,14473,15826,17783,21673,23349,26284,28146,
282594153993,3837,33687,5767,16058,16568,17732,18491,20081,25909,26253,28339,
282594653993,8519,39891,41333,8776,12829,13747,17281,21853,24877,25407,32627,
282595153993,12066,33924,12728,12971,13801,14447,18451,22498,24782,28174,29927,
282596153993,4741,36880,5660,10463,14699,15777,16810,19953,38275,38280,38054,
282597653993,5981,34625,35680,8372,11730,16278,24856,28582,28278,28463,29264,
282598153993,6646,34168,40781,9638,12924,13425,16628,19273,23404,26139,30627,
282598653993,6600,7046,7703,10798,11582,16744,20389,21845,24958,25387,41601,
282599653993,6795,42561,43453,7955,11119,13332,18595,20399,22913,26732,31072,
282601153993,6839,37816,38276,10228,11123,13478,16537,22051,25004,28200,29947,
282602153993,7059,39874,8101,11873,13281,14668,16211,19899,23793,25554,37870,
282603653993,66847,93968,94290,95153,95548,96199,96189,95710,96506,95710,95881,
282604153993,4430,34947,5940,7920,13529,14880,19612,23728,25071,26187,30100,
282605153993,6984,35795,43724,8257,11343,14206,26790,25870,26443,27469,32391,
282605653993,6604,36434,6732,9588,10062,13006,16179,19224,22212,25476,28449,
282607153993,12336,50702,12659,15627,14067,15956,16522,19490,22366,26106,32179,
282607653993,5678,34101,38499,17046,17568,17487,17886,19502,24072,25217,28132,
282608153993,3851,35858,4561,9841,13111,15826,18809,19886,27943,28469,29548,
282608653993,12280,33942,37895,12986,14509,15768,18531,22217,23006,27526,28882,
282610653993,3921,39646,6863,9807,11122,13740,16228,22267,25663,26957,28347,
282612653993,6808,36947,38803,9719,12813,15747,18108,19417,24077,26233,32989,
282613153993,3306,34785,4149,9578,14125,15649,19084,24466,23818,25200,31071,
282614653993,6070,34963,6888,8450,11972,28056,28267,28411,29262,29390,29831,
282616153993,7085,50223,7933,8791,12425,14927,18544,19108,47850,48514,49599,
282618653993,5399,42783,5038,8910,11105,13419,17850,19553,25598,41414,42567,
282619153993,3981,37278,4618,25650,24875,25937,25467,26113,26664,28077,28702,
282620153993,5836,36408,42473,7482,10125,14245,16316,19523,22190,25116,29049,
282620653993,7577,54457,54188,9509,11475,16002,18551,19203,24880,26922,53427,
282621153993,5079,39238,37577,11478,11946,16664,17066,21797,24842,27801,29341,
