,W-0,R-0,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,
280351835236,5031,105722,11251,23872,32087,42043,52635,61060,72612,81661,92217,
280352335236,3954,103223,20734,23308,33734,43081,51188,61843,72284,85857,92432,
280354835236,11460,105292,15572,29883,31298,42731,64361,65620,72160,82902,91215,
280355335236,3868,102963,11354,32574,46027,49451,55076,61757,80277,82383,96095,
280356335236,6430,108561,12386,23354,34832,41322,66507,67424,73691,81674,92892,
280358835236,6117,109269,17897,29846,33210,43467,63424,68988,72406,81549,93816,
280360335236,6889,105540,11454,23958,33099,41149,51246,61303,72897,87010,92468,
280360835236,14102,16171,15808,24500,34617,41430,52023,60924,71400,81331,94017,
280361335236,4549,103297,17691,31088,36201,41840,54725,62489,71565,89344,92979,
280361835236,9846,107163,11111,22038,31637,45344,51216,63261,76143,82853,92089,
280362335236,8208,103428,11102,26246,31753,44243,56546,61800,72717,81542,92962,
280362835236,6594,109880,14637,21796,34573,47105,52581,84593,84909,86626,95333,
280363335236,9731,112746,13437,24844,31672,55601,56173,64501,74143,83349,94878,
280364835236,7424,104419,11403,21545,33501,43050,51236,61351,78038,81353,91961,
280365335236,5435,104894,17122,21631,33551,41030,63946,64853,75075,81411,91993,
280365835236,5992,103608,12160,32239,32502,41195,51904,61293,71671,84333,91429,
280368335236,7686,104162,11185,23088,31351,42353,51818,61230,74276,89862,91105,
280368835236,4228,102504,11121,21357,34582,49274,52586,67918,72456,82330,93795,
280369835236,3730,102851,12809,22620,32987,41386,51260,70620,79155,83703,95603,
280370835236,20487,116031,24625,28352,38598,52182,56296,65314,81378,101820,106048,
280371335236,4873,106675,11266,36225,39216,48347,54756,63883,73386,80996,105144,
280371835236,6498,105129,11813,22467,34376,44355,72436,74374,75518,84753,93508,
280372335236,5201,104234,15864,30455,37561,54117,54921,71579,72815,81321,93053,
280374835236,6474,116633,14166,22277,31368,46763,55063,61993,75349,81982,91657,
280376835236,8649,113581,11597,22540,32898,55488,56281,61695,79182,85027,106747,
280377335236,9061,111063,13391,25111,31384,43363,51324,63145,74096,81310,95215,
280377835236,5976,106252,24433,25504,31452,43009,53259,63892,71223,81085,92796,
280378335236,7650,108096,11973,20987,32469,42391,52543,63987,71349,81698,93513,
280378835236,6754,10455,14759,21711,31296,48807,52047,65601,71915,83361,91290,
280379335236,6019,115331,11384,22169,31005,42616,55716,62653,80762,86238,92699,
280380835236,6282,109467,15630,24480,32318,45077,69356,69830,75121,81214,92446,
280381835236,16996,126619,17459,24192,31479,46635,53190,62114,72094,81066,104831,
280382335236,8397,109604,16923,22903,31980,45398,55940,63983,73065,88596,99063,
280382835236,6388,105943,11826,27942,33217,43880,51278,61196,71477,82989,92705,
280383335236,11469,115559,12512,22644,36901,41386,58158,64340,71500,86068,95267,
280384835236,7331,107184,11943,21177,33808,43038,51023,62222,71099,85516,91179,
280385335236,7147,105159,11650,23158,31877,43601,51117,61882,73035,82704,91434,
280386335236,4514,104496,11331,22661,31101,41213,53528,62983,72652,81383,94346,
280388335236,6274,107057,14540,21604,31221,42429,51326,61111,71948,90823,91808,
280389335236,6561,105594,13392,21216,32742,50963,54138,61177,71319,81859,91216,
280390335236,14517,106915,15218,31419,31574,41138,55547,61980,71685,81601,92548,
280391335236,4359,108184,12191,24084,31335,43238,54437,63467,71347,88047,91834,
280391835236,6900,103826,24472,25998,36068,43974,51337,61303,73203,81244,92042,
280393335236,5043,104183,22404,23107,33428,42801,58977,64496,71959,93728,95078,
280395835236,17703,107135,18498,25210,34639,53192,55399,63333,72265,81437,93885,
280396835236,6866,106866,16273,23440,31824,51130,54100,63656,72051,83337,93248,
280399335236,4478,104188,14833,21469,31590,41294,54407,63528,72133,94544,99125,
280399835236,3584,104575,28978,29515,31937,48554,55112,63366,72976,81384,100892,
280400335236,12504,124628,13110,23014,31323,42583,51924,63687,79562,83644,91255,
280400835236,166357,264571,264080,268732,266373,269368,265969,268899,269052,269522,269107,
280402335236,17247,106476,21541,30001,34991,52073,59849,63434,72925,88946,92191,
280402835236,300000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
280403335236,51708,155979,155911,155650,155354,157295,58316,90904,94258,97502,101525,
280405335236,5588,106577,17576,25418,33450,42084,63615,63913,73704,84640,92078,
280406835236,5729,102995,11362,21714,33522,45687,53540,64519,83804,86157,91895,
280407335236,3820,103440,11244,22610,34119,41630,53880,62394,72046,81255,93435,
280407835236,5322,105575,12945,22574,34092,56066,57010,62434,73608,84075,95047,
280408335236,11062,20689,21150,22967,41126,42116,51552,62879,74403,88224,110449,
280408835236,4439,103540,13226,21153,32290,48682,54610,63661,71262,83372,91186,
280409335236,6096,106355,17843,21117,32088,42460,58684,62715,71658,84705,91414,
280409835236,5229,105470,11844,35077,36333,42449,51288,61981,74660,85304,91645,
280411335236,11004,105118,12419,23154,37725,48742,53282,61963,72981,81042,92614,
280412335236,4276,105060,13802,22893,34431,54262,54078,61137,73867,81733,92967,
280412835236,5936,109911,12042,23173,31256,45490,52727,63267,78799,83416,108063,
280413335236,5366,105858,25601,26346,43640,43982,52651,62112,72273,81398,91560,
280413835236,4224,105573,12987,26535,34137,43317,65597,67410,71438,84143,96752,
280414835236,7720,114952,18316,25310,34236,41164,53311,61956,75254,83719,96731,
280415835236,6746,109352,11633,24480,32542,42449,51379,61354,71156,83972,93494,
280416835236,5156,103690,11901,32529,33156,50063,55016,62653,77376,84501,92451,
280417335236,5396,109239,13588,21339,31124,44232,52194,61907,72875,85341,91400,
280417835236,5437,108478,12323,24350,31745,42449,56970,69552,90719,93249,96156,
280420335236,9202,103467,13481,21183,31989,44213,63558,65329,72937,84841,92559,
280422335236,6272,103726,11223,22528,37277,42794,51327,61295,71344,81136,92663,
280423835236,6902,105745,12603,31389,32503,44949,54826,63328,78357,83674,97792,
280425835236,7980,115241,14997,21310,51432,50825,52096,61525,71211,83269,92036,
280426335236,7522,107997,11696,22675,31360,43391,58113,63917,72662,87349,92485,
280427335236,5357,104398,12939,25409,31688,41730,53436,73746,74419,81855,95681,
280428335236,5633,110454,11461,21243,32095,43916,51275,61238,81159,87892,93485,
280428835236,4501,103730,11222,21147,42327,44994,51407,62400,71418,81296,92238,
280429335236,6090,105405,11474,27712,35904,42642,58570,62944,81219,82891,99090,
280431835236,5046,113095,16937,21960,36323,44266,51811,61205,73153,83253,91290,
280432835236,4123,109964,11859,21267,31122,44544,51892,62140,74436,90095,93350,
280434335236,10926,103404,12734,29060,34408,50166,52538,79178,80714,85867,98259,
280436835236,4304,103165,18979,23355,34051,41450,51282,70000,73603,85318,91216,
280438335236,3847,105829,16377,21273,31712,53651,54626,63177,71899,84107,97874,
280439835236,5898,104508,27475,28062,32342,42715,51746,62099,71419,83996,91576,
280441335236,5501,121191,23801,26104,32958,42064,58255,65572,72450,81933,93426,
280442835236,4565,102626,22965,24521,40902,42108,51325,63581,71253,82462,93032,
280443335236,5273,104964,19183,24353,35661,41762,51031,74576,75875,83202,91180,
280443835236,4018,102973,21855,23567,31429,43749,53574,66042,71357,81731,91186,
280444335236,5657,106872,11723,21111,53564,54131,56395,61873,78844,97924,99016,
280444835236,8122,109235,15409,22133,34296,42869,51111,61360,71183,86512,92957,
280445835236,4603,107811,13758,22632,31296,49714,53415,65580,73368,88926,106318,
280446335236,4298,109210,12538,21054,31338,42251,52593,69457,77279,81280,91548,
280446835236,4585,105808,11737,22025,34631,41437,60759,63361,74966,81226,92489,
280447835236,4663,102808,12398,21292,34515,52869,54426,71201,72215,83962,91566,
280449835236,18884,108527,18742,43283,43550,44947,51446,61650,70933,82329,92821,
280450835236,4618,108494,13379,22007,34468,47813,54389,68697,73171,99171,100062,
280453835236,4744,105350,14383,21269,35697,41967,51759,63141,71216,82033,91016,
280454335236,3005,110248,14328,22459,36104,42631,52666,63064,71705,88714,93370,
280455335236,5277,110863,11659,21218,33213,46460,51846,64035,72876,84243,91428,
280456835236,3915,103107,11974,21289,31203,41332,51070,62363,74795,83661,92171,
280457335236,6377,106322,25193,26886,31448,42588,51132,62360,75066,90661,92168,
280457835236,20867,105171,21635,23139,31484,41810,53138,68636,71803,87877,101879,
280458335236,3466,116697,12342,22140,31695,44495,62466,63385,71883,84048,91506,
280459335236,10384,104101,18341,21626,44052,45104,52193,62611,71947,86045,91261,
280460335236,10479,105994,11394,21082,31351,41232,52380,62596,72358,81255,92210,
280460835236,5988,112732,11289,25632,45213,46745,64531,65152,72850,81242,92249,
280461835236,6345,108232,11990,21289,31127,42252,53759,62656,72140,83914,106287,
280463335236,5539,106830,12754,23296,31434,40936,51165,62571,73192,85405,94114,
280463835236,4028,103036,10941,23352,38115,41533,53481,63488,73132,81062,91621,
280464835236,5289,109513,18248,23354,31270,47256,53381,62096,71099,83191,94091,
280465335236,5309,105604,13543,25520,34385,50391,57678,61260,75205,82130,92255,
280465835236,37096,137271,137166,137626,40022,55693,57829,68927,77033,85650,91242,
280466335236,3242,106052,11936,22949,31179,42643,52271,66123,75190,83551,91143,
280468335236,5706,106943,11121,21222,34474,43487,51402,61880,75649,81226,101834,
280468835236,3730,104209,12497,22322,32932,41833,54735,63566,71706,81893,91529,
280470335236,32065,118978,135529,136794,33196,41671,51406,63592,78374,81366,92107,
280470835236,4888,105527,11821,20988,32340,41624,52130,64228,73749,81195,97723,
280471335236,4875,109916,11238,22121,32390,42672,52999,63228,73994,81285,93587,
280473335236,300000,NULL,NULL,425078,424912,424983,424626,422556,424813,424374,423463,
280474335236,8541,108999,11713,22290,31257,45275,51308,61729,71209,85224,97672,
280478335236,5353,106650,23256,24026,37121,47913,53966,62637,71307,86425,91608,
280478835236,7094,107160,12591,24536,31040,41362,51344,63506,71394,81484,92242,
280479835236,7443,104658,11684,21110,40304,41750,51269,61426,71011,82052,95395,
280480335236,3478,106714,11274,27127,31914,43431,61142,64311,84717,86478,93897,
280481335236,7598,108499,11763,22075,31147,42159,52212,61110,73914,91439,92112,
280481835236,6252,106820,13662,22262,31259,46660,59625,64593,72957,82515,92278,
280482335236,7589,104797,16895,21963,37451,43117,55131,63112,71314,81090,93136,
280483335236,4829,102631,12114,22409,36616,42608,51187,67663,72982,81170,91336,
280483835236,4909,105898,15113,24664,31171,42020,51357,64070,74749,81846,90953,
280485335236,4213,105937,13016,22036,32830,42760,55016,62515,73979,83885,91986,
280485835236,6739,103997,19596,23762,33694,41208,54526,66129,71589,85398,91390,
280487335236,6156,106856,13902,26415,34636,42011,54325,73576,74596,84135,93019,
280487835236,4464,106904,12276,31059,32387,57041,57365,61088,72017,83191,100686,
280488335236,14259,107425,15894,22088,37081,43189,51394,64983,75662,84076,91496,
280489335236,7242,104632,12099,25800,33185,44311,51385,66155,71046,82358,93721,
280490335236,8547,108183,16410,21218,36544,45142,51759,64033,72088,84289,91230,
280491835236,7761,110462,16841,22532,36041,47691,51401,61333,85587,89069,97131,
280492835236,5905,111284,12823,23337,31259,41373,51167,63262,71805,81251,110360,
280494835236,6065,108529,11639,25530,31632,41402,52154,62042,73687,88282,104092,
280495335236,3989,102738,11351,21150,31179,41989,51810,62836,74180,84074,91021,
280495835236,6314,111415,11223,22414,32639,44018,53625,62412,71860,85394,94740,
280496335236,18389,111298,19303,22906,32605,51728,66721,67995,92337,95487,95028,
280497335236,9559,102720,12455,27315,34170,46928,54955,66023,72299,91038,93508,
280497835236,6953,102981,11328,21867,32407,43321,51298,72716,74000,83360,92051,
280498335236,7964,107184,11884,27580,34525,43842,53034,61492,71479,83472,93357,
280498835236,13202,114202,15430,28031,31205,41709,51354,62802,82057,84099,91352,
280499335236,6535,115870,14394,23226,31327,41163,54292,69601,74144,82827,95882,
280499835236,5165,108857,11433,21320,32691,42620,53727,66179,81713,83254,92157,
280501835236,7888,104337,11239,23194,31457,46693,51854,61375,72711,81063,92032,
280502835236,6165,103229,12436,23939,31480,53021,52488,62234,71799,83578,92242,
280504335236,4557,107532,11531,21167,32871,42519,54870,61007,74575,98759,100007,
280506835236,5877,102694,11340,34311,35858,41640,51153,63376,86484,87189,93473,
280507335236,5367,104035,11976,21982,34310,47260,71289,73119,73699,90456,100989,
280507835236,4208,103832,12714,21292,32351,41436,54295,61934,72003,86590,96321,
280509335236,6624,107571,25874,29593,32742,42351,58415,65331,71222,81677,98370,
280509835236,3710,105848,11224,27869,32208,41683,66180,63806,73975,81191,94100,
280510835236,6503,117294,12055,22507,32003,41352,52269,67735,76948,100885,103917,
280511835236,4538,104154,22436,22854,34097,41195,56483,67164,72827,90957,93169,
280512335236,9005,108938,14319,24094,31246,41642,51863,73534,76961,83157,92240,
280512835236,4726,103412,11651,38906,39171,41694,54756,62122,71458,81316,95593,
280513335236,4593,106820,11275,22381,36164,42288,57435,63584,75351,81170,92817,
280513835236,5368,106126,14604,21444,31279,41348,51525,77451,78673,82125,92928,
280514335236,4202,103213,17384,26289,33997,45894,51147,63676,71106,84637,94396,
280514835236,5014,116846,19726,23558,46008,46359,53278,61943,72840,82615,91206,
280515335236,18490,116457,19868,28742,32731,41397,59288,63425,71728,81753,91388,
280515835236,4607,105142,13115,22109,31911,45668,53466,61095,83373,83609,91732,
280516335236,119607,125693,125464,128982,147497,121852,122660,122021,123245,123717,124831,
280517335236,6824,104417,14018,24094,31735,45503,54502,68017,72654,84715,91496,
280517835236,5934,106439,13022,21450,32436,43086,53686,62367,82443,82742,92158,
280518335236,4639,114264,11815,21306,33510,54688,59112,66079,77806,84557,98206,
280519335236,28525,103145,31736,32281,33736,41755,52080,63563,72419,82663,91480,
280519835236,7085,105797,11557,28798,32199,44828,57224,62094,72892,97328,98443,
280520835236,5013,105552,11168,23689,31281,47024,54821,61996,71910,82521,91212,
280521335236,5054,105056,14164,32100,32928,47113,52825,68075,78311,82086,92517,
280521835236,7618,105370,11201,23222,31248,41140,51357,64612,71971,81106,105098,
280522335236,10181,111152,24619,24343,34276,43717,59417,68818,72193,82258,91738,
280523335236,4826,105223,12505,23456,32116,42670,51153,68636,73295,81430,91486,
280523835236,4233,102755,20392,23487,32348,41649,52801,62159,71227,81077,91252,
280524335236,3924,105464,11500,24043,31647,43668,57202,63506,74948,81352,91449,
280524835236,6211,104754,16193,22138,34773,45210,77503,79806,81006,82104,91245,
280527335236,5460,104311,12671,29368,34919,43044,53235,71212,73472,82352,93305,
280527835236,9080,109435,14391,21628,31161,41621,60532,61290,74004,83059,95012,
280529835236,4397,105166,18604,22445,41461,42309,51111,61884,72520,82424,94007,
280532335236,4845,106975,21600,23344,31187,56677,57023,63854,71318,82473,92942,
280535835236,3609,104722,11316,27056,32482,42306,63401,65384,74714,86235,92634,
280536335236,11379,105802,12140,21348,32255,41810,51635,61334,72402,83351,93738,
280537835236,6008,105181,25116,25991,31907,44553,51804,62343,79056,82099,93701,
280538335236,22448,103427,23984,23871,47882,49972,54478,61093,71086,81711,91558,
280538835236,5236,107139,11625,23667,37069,41315,51332,62591,71235,83594,92255,
280540335236,10832,105931,11397,21369,32075,41642,53467,71159,72478,82281,91485,
280540835236,8251,114651,11340,21871,32064,44494,55250,63196,79284,84617,94829,
280541835236,4232,108146,16841,22176,31410,46362,51320,61805,71697,81245,103511,
280542835236,7123,110327,11378,30985,32741,56259,54622,61412,71322,83486,91063,
280543335236,4873,126942,13620,24237,31297,41124,51283,61972,71921,81909,93136,
280543835236,7281,109195,14544,21452,43630,42354,52141,61376,72066,81638,93890,
280544335236,3466,104718,12929,29607,32416,44497,52198,63757,72471,97475,97562,
280545835236,5854,105360,11475,21249,31245,52014,53656,61959,73444,84907,91382,
280546835236,4132,103845,11185,21566,39126,46399,52755,69721,71665,81180,93262,
280547335236,5686,106916,11185,22256,39292,47098,59283,64495,71886,81754,96837,
280548335236,5420,103817,15915,25463,31442,42125,52795,62360,73441,82544,91513,
280549335236,7106,11252,12500,21219,32069,41881,62288,63950,75987,82367,93511,
280549835236,11248,103924,12892,27573,32267,42369,64797,66015,81030,84706,95468,
280550335236,4997,104532,13990,23049,34687,41077,52344,61141,79580,83373,95821,
280553335236,7064,112961,11721,21481,42373,47106,55246,69614,73179,93049,94667,
280554335236,5981,115127,18329,23632,33210,42242,51341,62994,73257,83717,93586,
280555835236,11670,13384,13664,22607,31264,41855,52420,67963,72416,87325,94477,
280556835236,11341,107880,20900,24942,33045,43748,51699,75653,76230,83724,106158,
280557835236,5403,106643,20359,22641,31185,43179,51996,64854,73500,81040,93090,
280559335236,11197,109094,14580,24537,33906,41629,54739,63310,72747,81305,95127,
280559835236,4485,118262,29329,31595,33085,42637,52216,60969,74555,81198,91266,
280560335236,9095,103376,11170,21099,32239,48737,56249,63207,82825,84039,91858,
280562835236,4464,103236,11883,26183,32096,44230,52150,73316,73653,85811,94610,
280563335236,5424,177826,12799,28342,32061,42737,58527,72234,170456,172629,174507,
280564835236,15014,107639,17026,21511,34001,43043,51172,62149,71390,83162,91343,
280565335236,6337,107554,11147,22593,43210,44528,52249,61474,73178,83889,93376,
280565835236,7138,106969,14690,22245,48763,49383,57329,62115,72403,82024,91442,
280567335236,6463,109335,12575,24920,35208,41919,57709,68337,71998,84144,98829,
280567835236,7508,107855,20949,25034,31341,41365,51225,62624,71218,83964,92990,
280568335236,6337,107055,11386,26032,31930,43371,52075,63755,71445,81177,91987,
280569335236,8288,110127,12441,22169,33614,41996,63104,64637,75507,82636,91147,
280572335236,8536,123526,15268,24576,31166,43156,51137,65339,77446,81602,92214,
280572835236,4256,106989,11490,21571,31304,41700,51024,62513,72202,81869,105724,
280573835236,4656,103728,13081,23500,32563,47060,53950,62254,71261,89217,94092,
280574335236,8676,110352,14159,24648,33298,51185,53462,63110,71542,84044,96514,
280575835236,26492,122715,125911,130476,32520,41886,51755,63643,72700,81435,91984,
280576835236,6028,102926,14575,23130,32126,54325,54652,62401,71433,82815,95201,
280578335236,4669,103201,12375,22120,53728,54690,55144,63220,71658,91144,93351,
280578835236,5453,107164,13671,26390,40621,46932,56071,63893,72201,81745,93033,
280579335236,5916,110214,11990,21865,31124,41560,52752,62902,74399,82986,91887,
280581835236,4430,108558,12856,21019,31096,46033,51384,63011,78899,82415,91159,
280582835236,16996,116884,18139,27901,34836,48826,54388,68347,74205,81374,92153,
280583335236,4618,107821,15923,24274,32119,43389,51271,61879,73473,81379,93159,
280584335236,4849,111984,11614,21237,33278,43252,52741,64172,72226,81220,91242,
280587335236,13873,104033,15575,22351,39059,42233,52263,74410,75576,89222,91585,
280587835236,4051,105314,11300,30999,33664,43504,51240,62729,71627,83368,93280,
280588835236,12468,106832,21263,21623,32686,47931,92328,93477,93720,94078,93533,
280590335236,6009,119424,12053,21709,47661,49015,55017,63830,73694,82644,93263,
280592335236,4231,104903,12394,28177,32391,55567,57364,64190,73447,83559,92542,
280592835236,4035,104819,12994,21078,31243,43049,53014,61981,72691,81261,97633,
280594335236,3986,104192,14062,21450,55195,55640,56290,63868,71318,82696,92218,
280595335236,8554,105483,13327,21443,32734,53524,55837,63112,72244,83988,91176,
280595835236,12335,119971,14162,23221,31397,43645,60922,62153,86182,87027,91365,
280596835236,6025,104671,12290,22578,41259,43298,65034,66352,72404,88188,95522,
280598835236,6592,102934,11458,22352,31173,43261,51399,64733,71663,89901,93288,
280599335236,5518,115816,17687,25841,41251,43166,51188,61805,71846,87832,95103,
280600835236,8134,104813,11690,22855,33907,44395,51458,61252,75233,84647,92557,
280601335236,12062,111689,13856,22301,32453,41393,52613,61344,75661,83251,91254,
280602335236,3653,103054,11406,23549,39583,51393,52422,62412,87637,88551,95857,
280603835236,6361,104743,12224,21587,32332,41519,51295,61637,73267,91234,93603,
280604835236,7159,108521,11153,21608,31950,43657,51357,61618,71357,83373,101370,
280606835236,12262,111651,12939,22126,31427,42409,62886,65638,72240,86644,93054,
280607335236,3687,105423,12160,26029,34585,51047,52468,69639,90808,93137,95895,
280607835236,3275,111315,11961,23219,31299,57958,58334,63090,71276,81659,93037,
280608835236,6516,104589,11588,21924,41270,42020,52406,64755,73734,83167,92404,
280611335236,4270,111759,12139,26744,32325,41289,53124,62311,73579,81126,98707,
280617335236,8914,106154,13287,22134,31752,45864,53252,64109,75749,85712,95504,
280617835236,6599,114808,10909,23865,38085,42817,51974,70400,71908,87196,114922,
280618835236,5434,107893,12492,23893,33171,42540,51158,62733,77002,82163,92288,
280619335236,13379,110257,16727,22128,31283,43708,53850,61300,72509,82494,91616,
280622335236,4946,108330,12621,22708,39431,43671,55274,69512,78590,83617,94921,
280623835236,11675,103950,13975,23398,36206,41945,51026,64386,71838,81297,91668,
280624335236,21093,106497,23414,23817,32294,41187,62233,62893,71117,82682,91301,
280624835236,7881,108566,14221,22729,31615,46079,55441,60970,71191,99274,100117,
280625335236,17081,108269,18939,27183,36957,50255,51265,64469,75540,87600,95365,
280625835236,6023,103061,13946,22089,32855,41159,53527,62140,72508,86139,94579,
280626335236,6810,105194,16523,22094,31621,41731,52827,62063,76121,82035,102677,
280628835236,5809,116072,26925,27259,37946,49747,52441,72297,74298,81224,91130,
280630835236,4951,108201,13808,31074,31373,47596,57516,63122,72413,82378,104896,
280631335236,16406,103223,18361,23042,33327,42164,52475,63528,75237,81524,93594,
280632335236,5662,124020,11344,21938,30978,56719,57210,65212,71649,81762,92279,
280632835236,10816,112392,15170,21429,31327,43496,51897,65727,71726,81182,93404,
280633335236,20745,115353,116934,21230,40119,44150,52561,61445,71122,92987,93571,
280633835236,9577,107894,12977,21143,31984,42733,54473,61211,71928,81924,91283,
280634335236,2985,104520,14539,27541,31512,42027,55939,64483,73642,81970,92198,
