,W-0,R-0,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,
280366335236,11908,109267,13151,21572,31563,43360,52029,65533,74040,81585,106301,
280366835236,4364,107019,11718,22271,31810,48210,52888,65559,71157,81382,91695,
280367335236,4653,105731,13183,25682,37208,41986,70425,72069,72536,82565,99812,
280367835236,4703,107207,13888,24036,32413,53553,53854,65125,79506,91397,93854,
280369335236,13060,118082,13810,22728,31062,51819,57635,81321,81629,85820,101378,
280370335236,4240,114816,11263,21123,32403,50568,52513,67907,74907,81869,91251,
280372835236,19892,117984,22613,28864,32496,43255,56008,63583,76876,84534,91207,
280373335236,6324,102622,25147,26069,31161,43958,56318,63237,71181,81962,92512,
280373835236,7464,111620,15573,24610,35482,46750,55277,63456,79174,84737,91829,
280374335236,5356,120123,12320,27884,34463,42354,58341,62993,72483,85200,95541,
280375335236,7713,108427,12630,21189,31720,42425,52147,63033,72671,86829,92082,
280375835236,4635,104727,11415,26507,46094,44656,58309,66213,71400,81348,93429,
280376335236,4615,107045,12741,21552,32188,47485,52285,61395,72201,82009,91745,
280379835236,6743,105199,11139,21683,33352,48954,53123,62726,78113,81203,91322,
280380335236,9728,102994,11475,22385,31826,42459,56730,63805,71156,81731,93828,
280381335236,4511,103918,13336,21425,36216,55267,55478,65302,75014,83087,92850,
280383835236,11846,113678,14211,31524,39946,46634,52510,62917,74658,83002,93384,
280384335236,5624,105423,11432,22502,31577,41201,53346,65632,72274,81148,91182,
280385835236,5142,103212,13004,26107,48336,49231,52290,61441,74126,83076,93364,
280386835236,5932,107692,10972,27922,38063,43318,54907,63049,72552,81351,105934,
280387335236,4133,105073,12754,26740,32364,44931,51214,71058,71842,81665,93266,
280387835236,5105,103288,13247,23001,31347,42116,51343,62291,71723,83120,98736,
280388835236,8679,112465,14386,27022,33391,42910,55579,64739,71893,81795,91734,
280389835236,4646,107122,14685,22594,32523,41297,51134,61137,71410,83618,98076,
280390835236,14088,115363,116234,21149,34728,41253,51344,62080,83742,84981,91680,
280392335236,8470,110898,14326,27417,33158,42002,51603,64517,73251,83324,94305,
280392835236,17548,116154,116013,26793,31256,41507,53065,61200,74807,84129,91292,
280393835236,4698,104667,13279,20974,34796,43737,53622,62211,73504,83251,95300,
280394335236,9452,108444,13698,21301,34090,42104,51189,62528,71402,81414,93554,
280394835236,6870,106448,11236,31316,32808,43286,52655,61694,72489,82118,103527,
280395335236,11412,105302,14702,21175,33062,43299,51037,62904,72672,97725,98518,
280396335236,13438,107687,13899,22805,31352,56002,60030,64472,71993,82357,91719,
280397335236,3670,103049,11063,21465,31175,43485,52841,61527,71795,85287,93535,
280397835236,26925,102981,132704,129810,34831,46363,52861,61653,71230,84150,91218,
280398335236,3591,110988,11390,21376,33590,53962,54493,62303,71837,81962,91255,
280398835236,4185,117336,13905,21294,31303,41866,56841,70645,74093,85404,95394,
280401335236,6356,122907,12984,24082,33344,41484,53537,69564,71943,83730,94091,
280401835236,5478,103685,12473,20989,31325,53025,53303,63457,72254,83856,92893,
280403835236,7175,113571,16155,38726,40583,41573,51916,71150,76017,82378,101356,
280404335236,6812,112554,11485,20955,34463,48488,54681,65691,73755,81181,91227,
280404835236,13606,116946,15039,21907,31643,42098,52587,62019,71464,82552,91574,
280405835236,11277,106914,13404,22749,32983,41523,51852,63495,73058,81252,92992,
280406335236,8617,109928,12216,21494,31331,51360,53374,63658,73568,102277,108543,
280410335236,3796,104383,13655,21480,46141,47465,53611,61847,71911,85125,93455,
280410835236,4863,103267,29475,31041,32220,47286,52428,61164,71076,85491,97903,
280411835236,7619,104705,11982,26396,34684,42265,67988,69026,73638,83296,95688,
280414335236,4045,104593,11391,23251,31070,49565,57380,63481,71611,84382,95482,
280415335236,8565,109940,12375,21087,31909,43409,56702,63675,71721,81236,91569,
280416335236,5725,108466,16251,23332,34283,42577,51857,61129,73996,85136,92098,
280418335236,8129,103192,13413,28490,33265,42254,53170,61003,71442,83102,94903,
280418835236,5855,107506,12432,23556,37958,42510,51164,61987,72638,81389,93650,
280419335236,15752,105807,16744,32155,33435,41388,62660,63488,74223,82058,97226,
280419835236,7078,105877,12551,29319,33587,44143,51294,64556,82444,85958,100092,
280420835236,28572,114057,127397,133382,33034,41318,51179,61381,72659,81087,95083,
280421335236,6165,105188,13942,21261,31392,61112,62338,63864,76692,89452,95605,
280421835236,4976,104975,11091,33087,33934,45639,59880,63604,83502,84246,93322,
280422835236,4496,107302,14944,22358,34609,43340,51415,61177,75930,83445,92931,
280423335236,4735,103493,13609,22096,42858,44295,55018,65284,72239,82003,91383,
280424335236,4913,117629,16341,23876,31734,41254,52281,62739,71375,86328,91322,
280424835236,7646,104117,13761,21383,32746,41595,52255,62296,71205,82327,91238,
280425335236,8713,112551,11991,23740,42998,43454,66754,67002,72132,82393,94111,
280426835236,5759,105945,12716,21706,39984,43092,52122,65317,73150,81199,106140,
280427835236,4156,102819,13638,21308,31874,57741,59033,61854,72606,82038,98878,
280429835236,12022,105233,15189,22817,33427,42703,51322,61748,72339,86948,93118,
280430335236,5626,119721,12881,32357,34152,41192,51258,65816,71478,83239,92540,
280430835236,3750,105708,12062,21189,32238,41823,51389,66623,83401,83271,98073,
280431335236,118649,213942,215551,220941,221007,221269,220664,221025,220580,221062,214667,
280432335236,3675,108157,11224,21810,32724,60684,58242,66019,72522,81605,94027,
280433335236,6265,110818,11491,23141,31254,41645,56640,63688,71754,81329,92411,
280433835236,4732,104257,24124,25918,36680,43232,56488,65141,71375,86573,91177,
280434835236,8312,105880,12334,22023,32332,41205,56101,62128,74379,90625,93876,
280435335236,4070,103997,12091,21079,31861,41270,51659,63542,71255,82469,98528,
280435835236,4087,102854,11934,25562,31993,41719,58089,64567,85283,85523,92181,
280436335236,6388,109899,11025,27654,36130,62634,63010,63137,71731,82405,91931,
280437335236,15346,108632,17179,22814,31826,41378,52730,63892,72055,84137,91162,
280437835236,21552,107391,22660,23116,32298,44039,61581,63324,91226,91651,93299,
280438835236,3692,107928,11032,24664,31638,43813,51301,63883,71245,85925,97801,
280439335236,9826,13431,18531,21439,31457,45946,52260,67296,73943,91695,94080,
280440335236,15182,106356,15904,24624,31222,41167,52115,63982,71260,83611,95858,
280440835236,10007,107058,13961,22437,32536,43328,65234,66019,72137,81173,94015,
280441835236,7952,115747,12488,22942,31493,45958,53184,68026,73126,83068,90957,
280442335236,15152,107011,15552,22103,40998,46409,52747,62165,71487,81036,91500,
280445335236,7884,108598,11574,23486,41988,43567,52229,61685,72980,82062,92026,
280447335236,5117,105618,12611,21734,37693,44064,55443,61455,71797,81243,92585,
280448335236,4216,113179,11311,22404,41979,43035,51655,67539,71969,84495,91662,
