,W-0,R-0,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,
282064302121,1,2,1,1,1,1,1,1,1,1,1,
282064802121,1,2,1,1,1,1,1,1,1,1,1,
282065302121,1,2,1,1,1,1,1,1,1,1,1,
282065802121,1,2,1,1,1,1,1,1,1,1,1,
282068302121,1,2,1,1,1,1,1,1,1,1,1,
282068802121,1,2,1,1,1,1,1,1,1,1,1,
282070802121,1,2,1,1,1,1,1,1,1,1,1,
282071302121,1,2,1,1,1,1,1,1,1,1,1,
282071802121,1,2,2,1,1,1,1,1,1,1,1,
282072802121,1,2,1,1,1,1,1,1,1,1,1,
282073302121,1,2,1,1,1,1,1,1,1,1,1,
282077302121,1,2,1,1,1,1,1,1,1,1,1,
282077802121,1,2,1,1,1,1,1,1,1,1,1,
282078802121,1,2,2,1,1,1,1,1,1,1,1,
282081302121,1,2,2,2,2,2,2,1,1,1,1,
282082302121,1,2,2,2,1,1,1,1,1,1,1,
282083302121,1,2,1,1,1,1,1,1,1,1,1,
282085302121,1,2,1,1,1,1,1,1,1,1,1,
282085802121,1,2,2,2,2,2,2,2,2,2,2,
282086302121,1,2,1,1,1,1,1,1,1,1,1,
282086802121,1,2,2,1,1,1,1,1,1,1,1,
282087802121,1,2,2,1,1,1,1,1,1,1,1,
282088302121,1,2,1,1,1,1,1,1,1,1,1,
282088802121,1,2,1,1,1,1,1,1,1,1,1,
282089802121,1,2,1,1,1,1,1,1,1,1,1,
282090302121,1,2,1,1,1,1,1,1,1,1,1,
282091302121,1,2,1,1,1,1,1,1,1,1,1,
282091802121,1,1,1,1,1,1,1,1,1,1,1,
282092302121,1,2,1,1,1,1,1,1,1,1,1,
282093802121,1,2,1,1,1,1,1,1,1,1,1,
282094802121,1,2,1,1,1,1,1,1,1,1,1,
282096802121,1,2,1,1,1,1,1,1,1,1,1,
282097302121,1,2,1,1,1,1,1,1,1,1,1,
282097802121,1,2,1,1,1,1,1,1,1,1,1,
282098302121,1,2,1,1,1,1,1,1,1,1,1,
282099302121,1,1,1,1,1,1,1,1,1,1,1,
282100302121,1,2,1,1,1,1,1,1,1,1,1,
282100802121,1,2,1,1,1,1,1,1,1,1,1,
282101802121,1,2,1,1,1,1,1,1,1,1,1,
282102302121,1,2,1,1,1,1,1,1,1,1,1,
282102802121,1,2,2,1,1,1,1,1,1,1,1,
282103302121,1,2,1,1,1,1,1,1,1,1,1,
282104302121,1,2,1,1,1,1,1,1,1,1,1,
282104802121,1,2,1,1,1,1,1,1,1,1,1,
282105802121,1,2,1,1,1,1,1,1,1,1,1,
282106302121,1,2,1,1,1,1,1,1,1,1,1,
282107302121,1,2,1,1,1,1,1,1,1,1,1,
282107802121,1,2,1,1,1,1,1,1,1,1,1,
282108802121,1,2,2,1,1,1,1,1,1,1,1,
282109302121,1,2,1,1,1,1,1,1,1,1,1,
282112302121,1,2,1,1,1,1,1,1,1,1,1,
282114302121,1,2,2,1,1,1,1,1,1,1,1,
282115302121,1,2,1,1,1,1,1,1,1,1,1,
282115802121,1,2,1,1,1,1,1,1,1,1,1,
282116302121,1,2,1,1,1,1,1,1,1,1,1,
282117302121,1,2,1,1,1,1,1,1,1,1,1,
282118302121,1,2,1,1,1,1,1,1,1,1,1,
282118802121,1,2,2,1,1,1,1,1,1,1,1,
282119302121,1,2,1,1,1,1,1,1,1,1,1,
282119802121,1,2,1,1,1,1,1,1,1,1,1,
282120302121,1,2,1,1,1,1,1,1,1,1,1,
282121802121,1,2,1,1,1,1,1,1,1,1,1,
282122802121,1,2,1,1,1,1,1,1,1,1,1,
282123302121,1,2,1,1,1,1,1,1,1,1,1,
282125802121,1,2,1,1,1,1,1,1,1,1,1,
282126802121,1,2,1,1,1,1,1,1,1,1,1,
282128302121,1,2,1,1,1,1,1,1,1,1,1,
282129302121,1,2,1,1,1,1,1,1,1,1,1,
282129802121,1,2,2,1,1,1,1,1,1,1,1,
282131302121,1,2,2,1,1,1,1,1,1,1,1,
282133802121,1,2,1,1,1,1,1,1,1,1,1,
282134302121,1,2,1,1,1,1,1,1,1,1,1,
282134802121,1,2,1,1,1,1,1,1,1,1,1,
282136302121,1,2,1,1,1,1,1,1,1,1,1,
282136802121,1,1,1,1,1,1,1,1,1,1,1,
282138802121,1,2,1,1,1,1,1,1,1,1,1,
282139302121,1,2,1,1,1,1,1,1,1,1,1,
282139802121,1,2,1,1,1,1,1,1,1,1,1,
282140802121,1,2,1,1,1,1,1,1,1,1,1,
282141802121,1,2,2,1,1,1,1,1,1,1,1,
282142302121,1,2,1,1,1,1,1,1,1,1,1,
282142802121,1,2,2,1,1,1,1,1,1,1,1,
282143302121,1,2,1,1,1,1,1,1,1,1,1,
282143802121,1,2,1,1,1,1,1,1,1,1,1,
282144302121,1,2,1,1,1,1,1,1,1,1,1,
282144802121,1,2,1,1,1,1,1,1,1,1,1,
282146302121,1,2,1,1,1,1,1,1,1,1,1,
282147802121,1,2,1,1,1,1,1,1,1,1,1,
282149802121,1,2,1,1,1,1,1,1,1,1,1,
282151302121,1,2,1,1,1,1,1,1,1,1,1,
282151802121,1,2,2,1,1,1,1,1,1,1,1,
282153302121,1,2,1,1,1,1,1,1,1,1,1,
282153802121,1,2,1,1,1,1,1,1,1,1,1,
282155802121,1,2,1,1,1,1,1,1,1,1,1,
282156802121,1,2,1,1,1,1,1,1,1,1,1,
282157802121,1,2,2,1,1,1,1,1,1,1,1,
282158302121,1,2,1,1,1,1,1,1,1,1,1,
282159302121,1,2,1,1,1,1,1,1,1,1,1,
282160302121,1,2,1,1,1,1,1,1,1,1,1,
282160802121,1,2,1,1,1,1,1,1,1,1,1,
282161302121,1,2,2,1,1,1,1,1,1,1,1,
282163802121,1,2,1,1,1,1,1,1,1,1,1,
282167302121,1,2,1,1,1,1,1,1,1,1,1,
282167802121,1,2,1,1,1,1,1,1,1,1,1,
282168302121,1,2,1,1,1,1,1,1,1,1,1,
282169302121,1,2,1,1,1,1,1,1,1,1,1,
282170302121,1,2,1,1,1,1,1,1,1,1,1,
282170802121,1,2,1,1,1,1,1,1,1,1,1,
282171802121,1,2,2,1,1,1,1,1,1,1,1,
